# arm64 store-stride prefetch latency map
# access mode: store (strb), same noinline PC for train and trigger
# stride_bytes=320 train_step=6 rounds=40000 probe_positions=100
# timer: clock_gettime(CLOCK_MONOTONIC) ns
# position	offset_bytes	avg_ns	probes
  0	           0	        81	  400
  1	          64	       180	  400
  2	         128	       183	  400
  3	         192	       193	  400
  4	         256	       198	  400
  5	         320	        81	  400
  6	         384	       190	  400
  7	         448	       198	  400
  8	         512	       185	  400
  9	         576	       185	  400
 10	         640	        81	  400
 11	         704	       187	  400
 12	         768	       185	  400
 13	         832	       187	  400
 14	         896	       191	  400
 15	         960	        81	  400
 16	        1024	       182	  400
 17	        1088	       180	  400
 18	        1152	       193	  400
 19	        1216	       185	  400
 20	        1280	        81	  400
 21	        1344	       193	  400
 22	        1408	       200	  400
 23	        1472	       188	  400
 24	        1536	       184	  400
 25	        1600	       183	  400
 26	        1664	       184	  400
 27	        1728	       195	  400
 28	        1792	       187	  400
 29	        1856	       190	  400
 30	        1920	       196	  400
 31	        1984	       190	  400
 32	        2048	       192	  400
 33	        2112	       197	  400
 34	        2176	       186	  400
 35	        2240	       188	  400
 36	        2304	       196	  400
 37	        2368	       203	  400
 38	        2432	       192	  400
 39	        2496	       193	  400
 40	        2560	       203	  400
 41	        2624	       195	  400
 42	        2688	       188	  400
 43	        2752	       189	  400
 44	        2816	       201	  400
 45	        2880	       195	  400
 46	        2944	       192	  400
 47	        3008	       191	  400
 48	        3072	       201	  400
 49	        3136	       191	  400
 50	        3200	       185	  400
 51	        3264	       184	  400
 52	        3328	       198	  400
 53	        3392	       199	  400
 54	        3456	       189	  400
 55	        3520	       188	  400
 56	        3584	       189	  400
 57	        3648	       192	  400
 58	        3712	       183	  400
 59	        3776	       183	  400
 60	        3840	       195	  400
 61	        3904	       204	  400
 62	        3968	       190	  400
 63	        4032	       208	  400
 64	        4096	       189	  400
 65	        4160	       190	  400
 66	        4224	       183	  400
 67	        4288	       184	  400
 68	        4352	       199	  400
 69	        4416	       194	  400
 70	        4480	       188	  400
 71	        4544	       189	  400
 72	        4608	       187	  400
 73	        4672	       191	  400
 74	        4736	       183	  400
 75	        4800	       183	  400
 76	        4864	       189	  400
 77	        4928	       194	  400
 78	        4992	       188	  400
 79	        5056	       186	  400
 80	        5120	       196	  400
 81	        5184	       200	  400
 82	        5248	       185	  400
 83	        5312	       185	  400
 84	        5376	       193	  400
 85	        5440	       199	  400
 86	        5504	       198	  400
 87	        5568	       193	  400
 88	        5632	       198	  400
 89	        5696	       194	  400
 90	        5760	       188	  400
 91	        5824	       187	  400
 92	        5888	       201	  400
 93	        5952	       196	  400
 94	        6016	       195	  400
 95	        6080	       192	  400
 96	        6144	       186	  400
 97	        6208	       185	  400
 98	        6272	       193	  400
 99	        6336	       195	  400

