# arm64 store-stride prefetch latency map
# access mode: store (strb)
# stride_bytes=704 train_step=15 rounds=4000 probe_positions=200
# timer: clock_gettime(CLOCK_MONOTONIC) ns
# position	offset_bytes	avg_ns	probes
  0	           0	        92	   20
  1	          64	       246	   20
  2	         128	       253	   20
  3	         192	       242	   20
  4	         256	       253	   20
  5	         320	       265	   20
  6	         384	       284	   20
  7	         448	       269	   20
  8	         512	       238	   20
  9	         576	       265	   20
 10	         640	       250	   20
 11	         704	        99	   20
 12	         768	       234	   20
 13	         832	       242	   20
 14	         896	       261	   20
 15	         960	       253	   20
 16	        1024	       265	   20
 17	        1088	       269	   20
 18	        1152	       265	   20
 19	        1216	       261	   20
 20	        1280	       269	   20
 21	        1344	       257	   20
 22	        1408	       115	   20
 23	        1472	       261	   20
 24	        1536	       249	   20
 25	        1600	       246	   20
 26	        1664	       253	   20
 27	        1728	       242	   20
 28	        1792	       246	   20
 29	        1856	       261	   20
 30	        1920	       253	   20
 31	        1984	       246	   20
 32	        2048	       261	   20
 33	        2112	       103	   20
 34	        2176	       250	   20
 35	        2240	       257	   20
 36	        2304	       253	   20
 37	        2368	       257	   20
 38	        2432	       280	   20
 39	        2496	       276	   20
 40	        2560	       250	   20
 41	        2624	       253	   20
 42	        2688	       246	   20
 43	        2752	       238	   20
 44	        2816	       103	   20
 45	        2880	       249	   20
 46	        2944	       249	   20
 47	        3008	       250	   20
 48	        3072	       269	   20
 49	        3136	       269	   20
 50	        3200	       265	   20
 51	        3264	       261	   20
 52	        3328	       257	   20
 53	        3392	       253	   20
 54	        3456	       261	   20
 55	        3520	       100	   20
 56	        3584	       254	   20
 57	        3648	       253	   20
 58	        3712	       257	   20
 59	        3776	       246	   20
 60	        3840	       234	   20
 61	        3904	       242	   20
 62	        3968	       246	   20
 63	        4032	       238	   20
 64	        4096	       265	   20
 65	        4160	       257	   20
 66	        4224	        99	   20
 67	        4288	       265	   20
 68	        4352	       269	   20
 69	        4416	       257	   20
 70	        4480	       249	   20
 71	        4544	       265	   20
 72	        4608	       246	   20
 73	        4672	       238	   20
 74	        4736	       242	   20
 75	        4800	       253	   20
 76	        4864	       249	   20
 77	        4928	        99	   20
 78	        4992	       238	   20
 79	        5056	       234	   20
 80	        5120	       257	   20
 81	        5184	       261	   20
 82	        5248	       280	   20
 83	        5312	       246	   20
 84	        5376	       257	   20
 85	        5440	       261	   20
 86	        5504	       265	   20
 87	        5568	       269	   20
 88	        5632	        95	   20
 89	        5696	       246	   20
 90	        5760	       238	   20
 91	        5824	       234	   20
 92	        5888	       234	   20
 93	        5952	       253	   20
 94	        6016	       242	   20
 95	        6080	       242	   20
 96	        6144	       272	   20
 97	        6208	       257	   20
 98	        6272	       265	   20
 99	        6336	        96	   20
100	        6400	       273	   20
101	        6464	       272	   20
102	        6528	       257	   20
103	        6592	       265	   20
104	        6656	       249	   20
105	        6720	       242	   20
106	        6784	       246	   20
107	        6848	       249	   20
108	        6912	       246	   20
109	        6976	       257	   20
110	        7040	       100	   20
111	        7104	       249	   20
112	        7168	       257	   20
113	        7232	       261	   20
114	        7296	       265	   20
115	        7360	       246	   20
116	        7424	       257	   20
117	        7488	       261	   20
118	        7552	       253	   20
119	        7616	       261	   20
120	        7680	       242	   20
121	        7744	        96	   20
122	        7808	       254	   20
123	        7872	       246	   20
124	        7936	       234	   20
125	        8000	       238	   20
126	        8064	       253	   20
127	        8128	       261	   20
128	        8192	       261	   20
129	        8256	       261	   20
130	        8320	       246	   20
131	        8384	       253	   20
132	        8448	        84	   20
133	        8512	       261	   20
134	        8576	       261	   20
135	        8640	       254	   20
136	        8704	       242	   20
137	        8768	       242	   20
138	        8832	       253	   20
139	        8896	       249	   20
140	        8960	       246	   20
141	        9024	       246	   20
142	        9088	       253	   20
143	        9152	        88	   20
144	        9216	       276	   20
145	        9280	       249	   20
146	        9344	       272	   20
147	        9408	       253	   20
148	        9472	       273	   20
149	        9536	       265	   20
150	        9600	       253	   20
151	        9664	       261	   20
152	        9728	       249	   20
153	        9792	       230	   20
154	        9856	       103	   20
155	        9920	       261	   20
156	        9984	       242	   20
157	       10048	       238	   20
158	       10112	       246	   20
159	       10176	       242	   20
160	       10240	       250	   20
161	       10304	       257	   20
162	       10368	       249	   20
163	       10432	       253	   20
164	       10496	       257	   20
165	       10560	       265	   20
166	       10624	       265	   20
167	       10688	       257	   20
168	       10752	       253	   20
169	       10816	       238	   20
170	       10880	       234	   20
171	       10944	       250	   20
172	       11008	       242	   20
173	       11072	       269	   20
174	       11136	       242	   20
175	       11200	       249	   20
176	       11264	       257	   20
177	       11328	       261	   20
178	       11392	       250	   20
179	       11456	       250	   20
180	       11520	       273	   20
181	       11584	       269	   20
182	       11648	       253	   20
183	       11712	       261	   20
184	       11776	       246	   20
185	       11840	       249	   20
186	       11904	       242	   20
187	       11968	       249	   20
188	       12032	       242	   20
189	       12096	       238	   20
190	       12160	       246	   20
191	       12224	       238	   20
192	       12288	       280	   20
193	       12352	       261	   20
194	       12416	       261	   20
195	       12480	       250	   20
196	       12544	       261	   20
197	       12608	       261	   20
198	       12672	       261	   20
199	       12736	       273	   20

