# x86_64 store-stride prefetch latency map
# access mode: store (movb store), same noinline PC for train and trigger
# stride_bytes=320 train_step=3 rounds=40000 probe_positions=100
# timer: rdtscp cycles
# position	offset_bytes	avg_cycles	probes
  0	           0	       114	  400
  1	          64	       401	  400
  2	         128	       401	  400
  3	         192	       407	  400
  4	         256	       420	  400
  5	         320	       413	  400
  6	         384	       419	  400
  7	         448	       457	  400
  8	         512	       413	  400
  9	         576	       413	  400
 10	         640	       400	  400
 11	         704	       412	  400
 12	         768	       429	  400
 13	         832	       431	  400
 14	         896	       424	  400
 15	         960	       420	  400
 16	        1024	       423	  400
 17	        1088	       424	  400
 18	        1152	       429	  400
 19	        1216	       427	  400
 20	        1280	       428	  400
 21	        1344	       424	  400
 22	        1408	       429	  400
 23	        1472	       427	  400
 24	        1536	       424	  400
 25	        1600	       430	  400
 26	        1664	       418	  400
 27	        1728	       414	  400
 28	        1792	       431	  400
 29	        1856	       429	  400
 30	        1920	       433	  400
 31	        1984	       442	  400
 32	        2048	       437	  400
 33	        2112	       427	  400
 34	        2176	       421	  400
 35	        2240	       433	  400
 36	        2304	       427	  400
 37	        2368	       438	  400
 38	        2432	       436	  400
 39	        2496	       439	  400
 40	        2560	       423	  400
 41	        2624	       425	  400
 42	        2688	       418	  400
 43	        2752	       425	  400
 44	        2816	       435	  400
 45	        2880	       443	  400
 46	        2944	       436	  400
 47	        3008	       426	  400
 48	        3072	       415	  400
 49	        3136	       416	  400
 50	        3200	       414	  400
 51	        3264	       429	  400
 52	        3328	       436	  400
 53	        3392	       436	  400
 54	        3456	       437	  400
 55	        3520	       429	  400
 56	        3584	       439	  400
 57	        3648	       428	  400
 58	        3712	       440	  400
 59	        3776	       442	  400
 60	        3840	       432	  400
 61	        3904	       437	  400
 62	        3968	       434	  400
 63	        4032	       425	  400
 64	        4096	       427	  400
 65	        4160	       414	  400
 66	        4224	       424	  400
 67	        4288	       427	  400
 68	        4352	       429	  400
 69	        4416	       420	  400
 70	        4480	       429	  400
 71	        4544	       425	  400
 72	        4608	       421	  400
 73	        4672	       421	  400
 74	        4736	       424	  400
 75	        4800	       418	  400
 76	        4864	       427	  400
 77	        4928	       423	  400
 78	        4992	       429	  400
 79	        5056	       423	  400
 80	        5120	       420	  400
 81	        5184	       421	  400
 82	        5248	       427	  400
 83	        5312	       421	  400
 84	        5376	       419	  400
 85	        5440	       430	  400
 86	        5504	       419	  400
 87	        5568	       428	  400
 88	        5632	       428	  400
 89	        5696	       415	  400
 90	        5760	       416	  400
 91	        5824	       422	  400
 92	        5888	       424	  400
 93	        5952	       429	  400
 94	        6016	       430	  400
 95	        6080	       421	  400
 96	        6144	       410	  400
 97	        6208	       439	  400
 98	        6272	       424	  400
 99	        6336	       422	  400

