# arm64 same-VA EL0/EL1 store-stride retention test
# EL0 trains 5 stores, EL0_after_EL1_context_switch triggers access 5
# user_page=0x0000000700000000 same_va=yes
# mapping=private_anonymous fixed_va=0x0000000700000000
# stride_lines=5 stride_bytes=320 rounds=4000 probe_positions=64
# trigger_line=25 predicted_line=30 access=store pc=noinline_same_pc
# trigger=el1_context_switch_then_same_el0
# position	offset_bytes	avg_ns	probes
  0	           0	        83	   63
  1	          64	       162	   63
  2	         128	       174	   63
  3	         192	       185	   63
  4	         256	       183	   63
  5	         320	        83	   63
  6	         384	       186	   63
  7	         448	       163	   63
  8	         512	       187	   63
  9	         576	       190	   63
 10	         640	        83	   63
 11	         704	       190	   63
 12	         768	       173	   63
 13	         832	       179	   63
 14	         896	       182	   63
 15	         960	        82	   63
 16	        1024	       192	   63
 17	        1088	       174	   63
 18	        1152	       187	   63
 19	        1216	       193	   63
 20	        1280	        84	   63
 21	        1344	       184	   63
 22	        1408	       180	   63
 23	        1472	       184	   63
 24	        1536	       192	   63
 25	        1600	        83	   63
 26	        1664	       198	   63
 27	        1728	       193	   63
 28	        1792	       180	   63
 29	        1856	       182	   63
 30	        1920	       185	   63
 31	        1984	       183	   63
 32	        2048	       196	   62
 33	        2112	       190	   62
 34	        2176	       190	   62
 35	        2240	       166	   62
 36	        2304	       192	   62
 37	        2368	       182	   62
 38	        2432	       177	   62
 39	        2496	       178	   62
 40	        2560	       189	   62
 41	        2624	       196	   62
 42	        2688	       190	   62
 43	        2752	       186	   62
 44	        2816	       182	   62
 45	        2880	       190	   62
 46	        2944	       180	   62
 47	        3008	       181	   62
 48	        3072	       188	   62
 49	        3136	       227	   62
 50	        3200	       194	   62
 51	        3264	       189	   62
 52	        3328	       182	   62
 53	        3392	       188	   62
 54	        3456	       183	   62
 55	        3520	       181	   62
 56	        3584	       199	   62
 57	        3648	       194	   62
 58	        3712	       194	   62
 59	        3776	       189	   62
 60	        3840	       187	   62
 61	        3904	       180	   62
 62	        3968	       181	   62
 63	        4032	       180	   62
