# arm64 same-VA EL0/EL1 store-stride retention test
# EL0 trains 5 stores, EL1 triggers access 5
# user_page=0x0000000700000000 same_va=yes
# mapping=private_anonymous fixed_va=0x0000000700000000
# stride_lines=5 stride_bytes=320 rounds=4000 probe_positions=64
# trigger_line=25 predicted_line=30 access=store pc=noinline_same_pc
# trigger=disabled
# position	offset_bytes	avg_ns	probes
  0	           0	        82	   63
  1	          64	       175	   63
  2	         128	       178	   63
  3	         192	       178	   63
  4	         256	       179	   63
  5	         320	        82	   63
  6	         384	       187	   63
  7	         448	       176	   63
  8	         512	       176	   63
  9	         576	       174	   63
 10	         640	        83	   63
 11	         704	       182	   63
 12	         768	       184	   63
 13	         832	       179	   63
 14	         896	       178	   63
 15	         960	        83	   63
 16	        1024	       176	   63
 17	        1088	       179	   63
 18	        1152	       181	   63
 19	        1216	       182	   63
 20	        1280	        82	   63
 21	        1344	       182	   63
 22	        1408	       181	   63
 23	        1472	       230	   63
 24	        1536	       177	   63
 25	        1600	       176	   63
 26	        1664	       185	   63
 27	        1728	       178	   63
 28	        1792	       180	   63
 29	        1856	       183	   63
 30	        1920	       188	   63
 31	        1984	       183	   63
 32	        2048	       184	   62
 33	        2112	       182	   62
 34	        2176	       175	   62
 35	        2240	       176	   62
 36	        2304	       192	   62
 37	        2368	       181	   62
 38	        2432	       180	   62
 39	        2496	       180	   62
 40	        2560	       183	   62
 41	        2624	       185	   62
 42	        2688	       176	   62
 43	        2752	       174	   62
 44	        2816	       180	   62
 45	        2880	       187	   62
 46	        2944	       177	   62
 47	        3008	       180	   62
 48	        3072	       185	   62
 49	        3136	       186	   62
 50	        3200	       179	   62
 51	        3264	       179	   62
 52	        3328	       186	   62
 53	        3392	       190	   62
 54	        3456	       184	   62
 55	        3520	       181	   62
 56	        3584	       150	   62
 57	        3648	       182	   62
 58	        3712	       177	   62
 59	        3776	       177	   62
 60	        3840	       189	   62
 61	        3904	       147	   62
 62	        3968	       182	   62
 63	        4032	       181	   62
