# arm64 same-VA EL0/EL1 store-stride retention test
# EL0 trains 6 stores, EL0 triggers access 6
# user_page=0x0000000700000000 same_va=yes
# mapping=private_anonymous fixed_va=0x0000000700000000
# stride_lines=5 stride_bytes=320 rounds=4000 probe_positions=64
# trigger_line=30 predicted_line=35 access=store pc=noinline_same_pc
# trigger=same_el0
# position	offset_bytes	avg_ns	probes
  0	           0	        83	   63
  1	          64	       178	   63
  2	         128	       169	   63
  3	         192	       169	   63
  4	         256	       176	   63
  5	         320	        82	   63
  6	         384	       174	   63
  7	         448	       173	   63
  8	         512	       175	   63
  9	         576	       176	   63
 10	         640	        81	   63
 11	         704	       167	   63
 12	         768	       181	   63
 13	         832	       174	   63
 14	         896	       173	   63
 15	         960	        81	   63
 16	        1024	       177	   63
 17	        1088	       173	   63
 18	        1152	       169	   63
 19	        1216	       170	   63
 20	        1280	        81	   63
 21	        1344	       177	   63
 22	        1408	       171	   63
 23	        1472	       171	   63
 24	        1536	       171	   63
 25	        1600	        81	   63
 26	        1664	       169	   63
 27	        1728	       165	   63
 28	        1792	       172	   63
 29	        1856	       177	   63
 30	        1920	        81	   63
 31	        1984	       172	   63
 32	        2048	       169	   62
 33	        2112	       172	   62
 34	        2176	       173	   62
 35	        2240	       102	   62
 36	        2304	       207	   62
 37	        2368	       174	   62
 38	        2432	       175	   62
 39	        2496	       179	   62
 40	        2560	        95	   62
 41	        2624	       172	   62
 42	        2688	       176	   62
 43	        2752	       172	   62
 44	        2816	       176	   62
 45	        2880	        94	   62
 46	        2944	       182	   62
 47	        3008	       177	   62
 48	        3072	       171	   62
 49	        3136	       171	   62
 50	        3200	       176	   62
 51	        3264	       170	   62
 52	        3328	       172	   62
 53	        3392	       170	   62
 54	        3456	       179	   62
 55	        3520	       172	   62
 56	        3584	       171	   62
 57	        3648	       170	   62
 58	        3712	       170	   62
 59	        3776	       176	   62
 60	        3840	       173	   62
 61	        3904	       171	   62
 62	        3968	       173	   62
 63	        4032	       174	   62
