# arm64 same-VA EL0/EL1 store-stride retention test
# EL0 trains 6 stores, EL1 triggers access 6
# user_page=0x0000000700000000 same_va=yes
# mapping=private_anonymous fixed_va=0x0000000700000000
# stride_lines=5 stride_bytes=320 rounds=4000 probe_positions=64
# trigger_line=30 predicted_line=35 access=store pc=noinline_same_pc
# trigger=syscall_read_dev_zero_to_user_page
# position	offset_bytes	avg_ns	probes
  0	           0	        83	   63
  1	          64	       172	   63
  2	         128	       193	   63
  3	         192	       177	   63
  4	         256	       181	   63
  5	         320	        86	   63
  6	         384	       160	   63
  7	         448	       181	   63
  8	         512	       180	   63
  9	         576	       191	   63
 10	         640	        85	   63
 11	         704	       193	   63
 12	         768	       184	   63
 13	         832	       170	   63
 14	         896	       182	   63
 15	         960	        86	   63
 16	        1024	       192	   63
 17	        1088	       189	   63
 18	        1152	       177	   63
 19	        1216	       193	   63
 20	        1280	        84	   63
 21	        1344	       180	   63
 22	        1408	       181	   63
 23	        1472	       174	   63
 24	        1536	       194	   63
 25	        1600	        84	   63
 26	        1664	       197	   63
 27	        1728	       189	   63
 28	        1792	       174	   63
 29	        1856	       182	   63
 30	        1920	        85	   63
 31	        1984	       179	   63
 32	        2048	       203	   62
 33	        2112	       178	   62
 34	        2176	       193	   62
 35	        2240	       186	   62
 36	        2304	       191	   62
 37	        2368	       214	   62
 38	        2432	       180	   62
 39	        2496	       181	   62
 40	        2560	       190	   62
 41	        2624	       200	   62
 42	        2688	       194	   62
 43	        2752	       189	   62
 44	        2816	       180	   62
 45	        2880	       185	   62
 46	        2944	       178	   62
 47	        3008	       177	   62
 48	        3072	       188	   62
 49	        3136	       199	   62
 50	        3200	       192	   62
 51	        3264	       191	   62
 52	        3328	       182	   62
 53	        3392	       186	   62
 54	        3456	       182	   62
 55	        3520	       181	   62
 56	        3584	       200	   62
 57	        3648	       191	   62
 58	        3712	       191	   62
 59	        3776	       190	   62
 60	        3840	       189	   62
 61	        3904	       181	   62
 62	        3968	       182	   62
 63	        4032	       180	   62
