# arm64 same-VA cross-process store-stride retention test
# parent trains 5 stores, exec child triggers access 5
# parent_pid=2503218 child_pid=2503219
# parent_page=0x0000000700000000 child_page=0x0000000700000000 same_va=yes
# mapping=private_anonymous fixed_va=0x0000000700000000 same_pa=not_required
# stride_lines=5 stride_bytes=320 rounds=4000 probe_positions=64
# trigger_line=25 predicted_line=30 access=store pc=noinline_same_pc_per_process
# trigger=disabled
# position	offset_bytes	avg_ns	probes
  0	           0	        82	   63
  1	          64	       171	   62
  2	         128	       168	   62
  3	         192	       180	   62
  4	         256	       182	   62
  5	         320	        82	   63
  6	         384	       181	   63
  7	         448	       184	   63
  8	         512	       171	   63
  9	         576	       180	   63
 10	         640	        82	   62
 11	         704	       177	   62
 12	         768	       180	   62
 13	         832	       185	   62
 14	         896	       187	   63
 15	         960	        83	   63
 16	        1024	       177	   63
 17	        1088	       178	   63
 18	        1152	       185	   63
 19	        1216	       180	   62
 20	        1280	        83	   62
 21	        1344	       184	   62
 22	        1408	       189	   62
 23	        1472	       181	   63
 24	        1536	       177	   63
 25	        1600	       168	   63
 26	        1664	       177	   63
 27	        1728	       184	   63
 28	        1792	       184	   62
 29	        1856	       183	   62
 30	        1920	       184	   62
 31	        1984	       190	   62
 32	        2048	       175	   62
 33	        2112	       184	   63
 34	        2176	       176	   63
 35	        2240	       178	   63
 36	        2304	       182	   63
 37	        2368	       187	   62
 38	        2432	       179	   62
 39	        2496	       182	   62
 40	        2560	       178	   62
 41	        2624	       178	   62
 42	        2688	       177	   63
 43	        2752	       178	   63
 44	        2816	       188	   63
 45	        2880	       179	   63
 46	        2944	       180	   62
 47	        3008	       178	   62
 48	        3072	       184	   62
 49	        3136	       179	   62
 50	        3200	       181	   62
 51	        3264	       178	   63
 52	        3328	       189	   63
 53	        3392	       184	   63
 54	        3456	       184	   63
 55	        3520	       363	   62
 56	        3584	       180	   62
 57	        3648	       183	   62
 58	        3712	       179	   62
 59	        3776	       180	   62
 60	        3840	       185	   63
 61	        3904	       189	   63
 62	        3968	       186	   63
 63	        4032	       187	   63
