# arm64 same-VA cross-process store-stride retention test
# parent trains 5 stores, parent_after_process_switch triggers access 5
# parent_pid=2503235 child_pid=2503236
# parent_page=0x0000000700000000 child_page=0x0000000700000000 same_va=yes
# mapping=private_anonymous fixed_va=0x0000000700000000 same_pa=not_required
# stride_lines=5 stride_bytes=320 rounds=4000 probe_positions=64
# trigger_line=25 predicted_line=30 access=store pc=noinline_same_pc_per_process
# trigger=process_switch_then_same_process
# position	offset_bytes	avg_ns	probes
  0	           0	        86	   63
  1	          64	       183	   62
  2	         128	       188	   62
  3	         192	       189	   62
  4	         256	       180	   62
  5	         320	        84	   63
  6	         384	       184	   63
  7	         448	       184	   63
  8	         512	       186	   63
  9	         576	       184	   63
 10	         640	        82	   62
 11	         704	       185	   62
 12	         768	       178	   62
 13	         832	       179	   62
 14	         896	       187	   63
 15	         960	        83	   63
 16	        1024	       188	   63
 17	        1088	       184	   63
 18	        1152	       192	   63
 19	        1216	       186	   62
 20	        1280	        82	   62
 21	        1344	       181	   62
 22	        1408	       187	   62
 23	        1472	       187	   63
 24	        1536	       188	   63
 25	        1600	        83	   63
 26	        1664	       185	   63
 27	        1728	       189	   63
 28	        1792	       183	   62
 29	        1856	       182	   62
 30	        1920	       186	   62
 31	        1984	       186	   62
 32	        2048	       184	   62
 33	        2112	       189	   63
 34	        2176	       184	   63
 35	        2240	       184	   63
 36	        2304	       183	   63
 37	        2368	       184	   62
 38	        2432	       182	   62
 39	        2496	       180	   62
 40	        2560	       189	   62
 41	        2624	       186	   62
 42	        2688	       187	   63
 43	        2752	       185	   63
 44	        2816	       186	   63
 45	        2880	       182	   63
 46	        2944	       226	   62
 47	        3008	       183	   62
 48	        3072	       189	   62
 49	        3136	       188	   62
 50	        3200	       184	   62
 51	        3264	       187	   63
 52	        3328	       188	   63
 53	        3392	       186	   63
 54	        3456	       217	   63
 55	        3520	       183	   62
 56	        3584	       186	   62
 57	        3648	       193	   62
 58	        3712	       187	   62
 59	        3776	       187	   62
 60	        3840	       187	   63
 61	        3904	       190	   63
 62	        3968	       180	   63
 63	        4032	       182	   63
