# arm64 same-VA cross-process store-stride retention test
# parent trains 5 stores, parent triggers access 5
# parent_pid=2503227 child_pid=-1
# parent_page=0x0000000700000000 child_page=0x0000000700000000 same_va=yes
# mapping=private_anonymous fixed_va=0x0000000700000000 same_pa=not_required
# stride_lines=5 stride_bytes=320 rounds=4000 probe_positions=64
# trigger_line=25 predicted_line=30 access=store pc=noinline_same_pc_per_process
# trigger=same_process
# position	offset_bytes	avg_ns	probes
  0	           0	        81	   63
  1	          64	       162	   62
  2	         128	       177	   62
  3	         192	       186	   62
  4	         256	       176	   62
  5	         320	        83	   63
  6	         384	       169	   63
  7	         448	       178	   63
  8	         512	       182	   63
  9	         576	       183	   63
 10	         640	        82	   62
 11	         704	       169	   62
 12	         768	       177	   62
 13	         832	       178	   62
 14	         896	       182	   63
 15	         960	        83	   63
 16	        1024	       172	   63
 17	        1088	       178	   63
 18	        1152	       188	   63
 19	        1216	       184	   62
 20	        1280	        81	   62
 21	        1344	       178	   62
 22	        1408	       182	   62
 23	        1472	       181	   63
 24	        1536	       183	   63
 25	        1600	        82	   63
 26	        1664	       188	   63
 27	        1728	       190	   63
 28	        1792	       178	   62
 29	        1856	       179	   62
 30	        1920	       108	   62
 31	        1984	       184	   62
 32	        2048	       182	   62
 33	        2112	       190	   63
 34	        2176	       181	   63
 35	        2240	       109	   63
 36	        2304	       178	   63
 37	        2368	       179	   62
 38	        2432	       175	   62
 39	        2496	       177	   62
 40	        2560	       100	   62
 41	        2624	       180	   62
 42	        2688	       180	   63
 43	        2752	       177	   63
 44	        2816	       179	   63
 45	        2880	       178	   63
 46	        2944	       175	   62
 47	        3008	       178	   62
 48	        3072	       194	   62
 49	        3136	       185	   62
 50	        3200	       185	   62
 51	        3264	       184	   63
 52	        3328	       185	   63
 53	        3392	       183	   63
 54	        3456	       180	   63
 55	        3520	       181	   62
 56	        3584	       186	   62
 57	        3648	       188	   62
 58	        3712	       181	   62
 59	        3776	       180	   62
 60	        3840	       182	   63
 61	        3904	       182	   63
 62	        3968	       178	   63
 63	        4032	       179	   63
