# arm64 same-VA cross-process store-stride retention test
# parent trains 5 stores, exec child triggers access 5
# parent_pid=2503244 child_pid=2503245
# parent_page=0x0000000700000000 child_page=0x0000000700000000 same_va=yes
# mapping=private_anonymous fixed_va=0x0000000700000000 same_pa=not_required
# stride_lines=5 stride_bytes=320 rounds=4000 probe_positions=64
# trigger_line=25 predicted_line=30 access=store pc=noinline_same_pc_per_process
# trigger=exec_child_store
# position	offset_bytes	avg_ns	probes
  0	           0	        97	   63
  1	          64	       283	   62
  2	         128	       304	   62
  3	         192	       330	   62
  4	         256	       336	   62
  5	         320	        95	   63
  6	         384	       308	   63
  7	         448	       318	   63
  8	         512	       315	   63
  9	         576	       290	   63
 10	         640	        93	   62
 11	         704	       302	   62
 12	         768	       331	   62
 13	         832	       328	   62
 14	         896	       316	   63
 15	         960	        93	   63
 16	        1024	       323	   63
 17	        1088	       300	   63
 18	        1152	       317	   63
 19	        1216	       298	   62
 20	        1280	        89	   62
 21	        1344	       309	   62
 22	        1408	       322	   62
 23	        1472	       325	   63
 24	        1536	       322	   63
 25	        1600	       301	   63
 26	        1664	       308	   63
 27	        1728	       299	   63
 28	        1792	       304	   62
 29	        1856	       312	   62
 30	        1920	       311	   62
 31	        1984	       328	   62
 32	        2048	       318	   62
 33	        2112	       312	   63
 34	        2176	       292	   63
 35	        2240	       305	   63
 36	        2304	       318	   63
 37	        2368	       311	   62
 38	        2432	       304	   62
 39	        2496	       309	   62
 40	        2560	       343	   62
 41	        2624	       313	   62
 42	        2688	       305	   63
 43	        2752	       306	   63
 44	        2816	       332	   63
 45	        2880	       301	   63
 46	        2944	       297	   62
 47	        3008	       308	   62
 48	        3072	       336	   62
 49	        3136	       323	   62
 50	        3200	       312	   62
 51	        3264	       305	   63
 52	        3328	       312	   63
 53	        3392	       314	   63
 54	        3456	       303	   63
 55	        3520	       293	   62
 56	        3584	       309	   62
 57	        3648	       307	   62
 58	        3712	       323	   62
 59	        3776	       311	   62
 60	        3840	       342	   63
 61	        3904	       305	   63
 62	        3968	       310	   63
 63	        4032	       308	   63
