# stride=640 rounds=100 page_size=16384 prefetch_pc=0x0000000500000120 victim_buffer=0x0000000600000000
# latency_ns; lower latency means victim probe line was more likely prefetched
diff_bit	train_1	train_2	train_3	train_4	train_5	train_6	train_7	train_8	train_9	train_10	train_11	train_12	train_13	train_14	train_15	train_16	train_17	train_18	train_19	train_20
same_addr	205	208	159	102	89	90	93	85	77	78	77	89	90	95	91	90	85	85	80	79
0	217	211	141	120	105	99	95	87	81	80	79	90	97	87	82	83	87	86	89	90
1	208	211	133	109	93	112	99	87	83	82	80	86	93	88	90	85	84	92	86	87
2	213	370	130	106	96	103	97	84	79	81	94	120	128	110	88	83	79	83	92	79
3	220	201	116	105	94	106	94	84	79	80	81	89	90	88	83	94	87	87	92	88
4	197	218	138	128	98	95	100	85	84	81	82	84	112	87	90	88	91	87	89	81
5	210	210	120	110	98	89	96	81	79	77	80	86	90	85	89	90	92	84	88	86
6	207	206	224	215	100	96	89	85	81	80	82	85	84	100	81	84	86	82	83	82
7	205	216	213	210	104	93	96	82	88	84	86	91	94	92	88	79	85	82	86	82
8	209	199	209	199	117	97	94	93	82	84	84	93	90	87	90	85	95	89	86	85
9	211	208	214	214	119	104	93	85	83	83	82	92	122	83	92	85	93	85	79	80
10	203	208	206	216	102	91	97	85	81	81	82	92	85	96	90	88	100	91	88	83
11	202	212	198	202	104	97	102	87	110	120	119	102	87	104	88	95	88	83	90	82
12	204	221	213	228	104	98	99	80	80	80	80	89	93	93	84	85	93	82	96	81
13	212	201	197	217	104	99	98	86	80	87	82	85	94	89	89	120	86	81	81	87
14	216	223	217	210	98	99	103	106	84	85	88	89	95	96	86	90	87	90	89	83
15	213	202	134	101	102	95	104	88	88	88	84	94	86	93	92	88	87	131	87	84
16	194	575	133	103	102	94	94	86	84	83	85	89	87	89	100	118	120	106	85	83
17	202	200	125	105	94	91	88	82	82	81	84	97	86	239	97	99	90	132	84	93
18	219	214	153	97	90	96	93	84	80	80	82	83	91	98	84	87	87	83	84	94
19	199	214	132	112	96	102	101	93	86	84	84	93	87	85	82	89	84	84	88	99
20	205	220	137	104	92	102	96	81	79	84	84	96	97	91	87	86	88	85	86	85
21	209	221	129	108	95	93	92	85	81	92	122	119	106	79	78	78	79	85	85	84
22	281	224	140	110	94	98	107	85	86	119	121	91	93	79	80	82	85	84	84	83
23	201	207	124	111	96	95	96	85	83	90	84	83	84	86	82	84	83	83	83	85
24	229	253	194	136	116	92	98	82	86	83	82	78	82	83	82	82	79	82	83	83
25	215	209	122	107	91	95	94	87	82	80	83	83	83	84	86	81	83	79	80	81
26	218	273	139	105	99	91	96	84	80	82	85	84	84	83	82	82	81	82	81	81
27	205	212	131	155	142	136	98	85	82	80	83	82	84	85	83	83	86	83	83	82
28	214	215	161	104	96	96	94	87	86	86	87	85	85	84	84	82	81	82	82	83
29	200	214	139	114	96	101	96	88	83	84	83	83	90	87	83	84	83	81	82	86
30	195	213	126	126	95	93	110	87	109	121	120	92	83	81	82	84	89	87	82	82
31	257	257	193	106	91	93	93	84	81	81	82	82	82	82	82	82	85	85	83	84
32	210	207	129	127	94	98	94	89	83	85	84	95	119	119	110	83	79	80	78	84
33	210	213	127	107	106	96	97	108	120	121	94	79	80	79	80	81	84	83	81	83
34	206	213	185	154	138	111	89	77	77	74	77	83	83	81	82	81	85	82	83	81
35	208	210	125	108	97	93	93	85	82	82	83	85	83	82	82	87	81	89	85	83
36	203	259	192	110	97	98	97	87	84	84	82	100	121	119	104	82	79	79	81	83
37	208	202	142	99	97	98	102	85	85	86	84	81	78	80	80	80	82	83	86	84
38	219	207	144	121	98	97	101	89	85	83	84	85	81	84	87	84	88	86	82	88
39	218	213	135	107	96	95	127	122	119	90	82	83	83	81	83	84	83	95	120	119
40	256	193	136	104	98	94	98	84	85	84	84	82	84	80	89	83	84	86	84	83
41	226	209	133	115	97	92	97	87	84	83	83	85	86	85	83	82	83	86	82	83
42	210	218	133	151	135	146	119	86	80	83	86	81	82	81	82	83	83	83	87	84
43	222	210	130	131	99	92	95	83	81	81	83	84	84	83	84	90	82	83	83	83
44	223	215	138	107	127	101	98	88	81	89	83	83	94	119	119	109	82	82	83	80
45	204	207	130	104	91	93	96	82	81	81	82	82	85	77	77	79	77	82	82	81
46	210	231	180	150	94	92	91	86	82	83	84	86	84	83	83	85	84	85	83	83
47	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Saved result to res/mem-collision.tsv
