# stride=1088 rounds=1000 page_size=16384 base_prefetch_pc=0x0000000500000120 target_buffer=0x0000000600000000
# target_train_step=18 competitor_repeats=2 probe_offset=35904 pc_spacing=0x20
# dummy_pc_count=128 first_dummy_pc=0x0000000500001140 dummy_buffer_size=16777216 dummy_random_accesses=10
# dummyAccesses2_pages=10 dummyAccesses2_size=163840
# competitors	latency_ns
0	194
1	194
2	204
3	198
4	208
5	218
6	217
7	218
8	217
9	219
10	216
11	215
12	225
13	215
14	218
15	213
16	220
17	218
18	219
19	223
20	221
21	227
22	242
23	220
24	213
25	223
26	229
27	233
28	226
29	219
30	229
31	226
32	216
33	215
34	216
35	215
36	212
37	215
38	213
39	217
40	217
41	208
42	211
43	214
44	215
45	212
46	218
47	216
48	210
49	219
50	236
51	465
52	228
53	223
54	239
55	239
56	253
57	259
58	232
59	235
60	242
61	273
62	248
63	270
64	246
65	236
66	220
67	227
68	261
69	225
70	276
71	216
72	226
73	231
74	221
75	222
76	222
77	217
78	247
79	237
80	227
81	214
82	220
83	219
84	220
85	223
86	217
87	217
88	229
89	213
90	245
91	239
92	234
93	225
94	215
95	218
96	231
97	220
98	218
99	223
100	224
101	215
102	215
103	241
104	221
105	234
106	221
107	208
108	220
109	224
110	215
111	219
112	219
113	218
114	217
115	212
116	221
117	233
118	251
119	214
120	223
121	218
122	219
123	227
124	223
125	219
126	215
127	216
128	216
