# stride=1920 rounds=1000 page_size=16384 prefetch_pc=0x0000000500000120 victim_buffer=0x0000000600000000
# latency_ns; lower latency means victim probe line was more likely prefetched
diff_bit	train_1	train_2	train_3	train_4	train_5	train_6	train_7	train_8	train_9	train_10	train_11	train_12	train_13	train_14	train_15	train_16	train_17	train_18	train_19	train_20
same_addr	218	233	146	120	109	96	109	99	83	93	86	101	103	92	111	100	100	99	95	102
0	229	228	141	117	123	100	113	86	95	91	98	101	101	101	99	91	101	95	98	115
1	256	258	155	118	110	104	102	103	94	92	87	102	101	99	115	112	91	100	102	103
2	230	233	137	111	111	111	101	98	95	93	94	106	102	109	97	106	102	101	102	91
3	233	230	137	121	100	112	107	1132	89	94	94	100	102	101	93	103	102	99	94	101
4	243	233	218	126	134	125	108	125	119	137	107	120	121	118	121	94	85	95	105	94
5	231	216	154	124	115	114	114	98	95	83	94	99	107	100	91	99	101	91	102	109
6	230	224	229	231	124	114	110	99	96	94	87	98	84	95	96	95	94	96	94	94
7	222	223	233	231	125	100	115	107	93	94	86	116	104	100	102	102	97	99	108	100
8	231	221	227	246	115	113	117	95	94	99	85	102	105	104	102	99	93	101	99	100
9	232	242	242	218	136	110	107	101	93	94	93	100	110	107	97	107	97	96	102	98
10	226	242	217	246	111	111	107	98	85	103	88	110	98	110	97	101	102	100	96	102
11	236	240	237	226	120	105	107	100	109	96	113	115	119	116	116	100	108	101	111	99
12	231	265	217	229	123	111	116	103	102	96	94	111	114	110	117	106	113	99	100	103
13	241	246	228	233	113	108	117	102	96	105	94	103	96	111	100	111	106	98	103	107
14	217	233	229	233	131	116	100	109	95	118	98	109	101	101	107	102	102	97	100	102
15	243	237	88	88	104	112	99	97	91	98	102	114	103	101	117	114	105	98	102	100
16	229	243	170	120	110	108	104	104	83	95	93	101	105	101	127	95	107	103	107	86
17	234	253	146	124	113	104	104	94	96	100	90	107	99	96	98	106	102	100	102	99
18	221	236	229	157	111	105	109	117	111	126	116	109	117	105	110	107	96	113	94	104
19	234	229	154	128	113	121	102	95	108	102	87	100	104	102	102	101	110	106	103	100
20	231	227	133	139	111	118	120	87	94	99	97	107	100	109	97	108	98	95	103	91
21	231	238	167	135	112	111	107	98	92	94	104	94	99	86	104	95	90	96	94	94
22	238	224	145	131	114	99	101	106	93	92	82	86	98	91	94	102	95	95	96	90
23	240	231	150	116	109	107	108	107	103	101	113	95	94	95	98	102	92	91	99	96
24	227	227	161	131	110	105	108	99	95	94	103	91	95	93	95	95	87	106	94	94
25	228	226	154	108	112	112	130	105	91	93	94	102	94	95	96	93	88	92	107	105
26	214	228	171	117	108	110	110	94	107	89	101	89	88	100	95	94	96	86	99	100
27	229	234	151	132	102	99	106	100	105	93	88	105	94	93	96	94	95	96	104	90
28	229	232	149	124	117	105	114	95	115	103	98	94	93	119	102	95	95	101	99	102
29	232	250	152	119	109	109	106	98	94	93	88	94	85	104	103	98	110	100	93	94
30	237	226	166	120	120	112	109	97	85	94	90	90	92	95	94	92	108	96	86	95
31	220	225	160	118	120	110	112	98	103	93	91	86	96	94	91	103	93	95	114	99
32	229	224	159	128	110	110	103	93	103	89	99	95	92	102	90	102	95	92	94	99
33	226	231	159	130	111	108	116	102	113	101	96	95	95	94	92	95	94	86	95	103
34	226	234	156	116	129	110	105	107	84	105	94	82	94	96	89	99	95	93	101	85
35	235	262	136	123	109	114	115	106	96	92	93	99	102	92	91	104	80	105	95	86
36	229	245	142	136	112	104	113	96	105	94	91	104	86	93	100	88	95	97	98	94
37	229	236	158	131	110	109	110	97	96	94	95	92	97	94	94	95	96	96	105	95
38	220	230	174	120	110	114	116	94	104	103	108	90	102	95	94	94	95	94	102	87
39	226	235	155	107	121	104	106	99	94	99	89	94	102	89	103	95	94	95	98	101
40	235	234	132	120	112	110	113	108	88	90	94	95	93	95	94	93	94	90	105	95
41	235	228	149	124	106	112	105	97	93	102	86	97	91	94	95	95	94	98	91	100
42	238	226	152	123	124	110	111	97	96	93	91	101	97	91	94	98	106	89	95	102
43	220	247	154	121	110	115	106	115	113	107	98	94	91	98	94	91	94	85	104	89
44	227	233	170	121	108	100	112	99	101	105	90	100	95	94	95	93	94	95	97	93
45	234	238	165	122	108	112	103	107	86	103	90	100	83	94	100	95	96	95	95	95
46	236	225	164	113	106	117	112	102	97	91	92	95	83	94	93	94	94	84	108	90
47	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
