# stride=960 rounds=1000 page_size=16384 base_prefetch_pc=0x0000000500000120
# latency_ns; lower latency means the probe line was more likely prefetched
diff_bit	train_1	train_2	train_3	train_4	train_5	train_6	train_7	train_8	train_9	train_10	train_11	train_12
same_pc	257	230	201	235	259	254	261	245	219	210	4256	227
3	257	234	225	259	249	263	264	259	231	217	251	245
4	264	206	211	4269	262	262	262	264	229	210	262	241
5	214	230	267	284	285	4292	263	258	261	256	267	250
6	261	257	248	253	165	209	254	259	251	206	264	241
7	204	256	4272	212	225	260	239	228	256	265	265	254
8	4229	236	256	214	196	250	255	261	263	261	8297	4238
9	219	262	257	236	204	261	258	230	209	147	262	257
10	258	255	261	260	256	223	233	260	4240	209	4271	256
11	260	241	4230	231	221	213	228	261	267	128	273	239
12	218	235	260	255	4281	258	258	258	210	82	257	249
13	232	260	253	246	228	255	4242	4230	214	204	265	260
14	263	254	217	221	235	237	215	235	258	215	220	254
15	253	239	213	218	208	166	176	122	120	4127	110	86
16	259	225	204	235	207	214	176	92	120	120	105	83
17	4246	260	258	218	159	191	4225	123	90	84	116	121
18	259	266	256	233	209	207	163	93	121	120	121	120
19	258	261	4276	241	166	177	217	121	105	84	100	119
20	259	227	209	196	178	210	208	122	120	121	121	121
21	255	211	210	237	208	201	171	100	120	121	120	99
22	214	230	254	238	216	210	215	88	94	120	120	120
23	260	256	258	248	206	212	216	111	83	88	121	92
24	207	258	249	244	214	216	178	90	120	96	86	112
25	241	209	4252	243	216	221	210	111	85	96	120	121
26	261	255	249	232	165	203	210	123	90	114	120	120
27	262	224	206	233	210	211	170	87	121	120	121	108
28	217	239	252	243	193	203	189	83	101	122	120	120
29	242	207	229	8275	181	172	194	113	84	98	120	120
30	259	264	258	4224	162	4234	211	122	119	121	89	102
31	258	258	211	212	212	203	211	121	94	85	87	82
32	240	259	257	237	218	200	170	98	120	86	86	121
33	266	259	259	241	218	178	166	116	120	120	121	91
34	220	241	270	240	163	169	216	121	109	84	98	120
35	260	229	205	224	209	210	211	91	82	115	120	110
36	199	234	256	211	162	219	175	83	109	120	4134	85
37	208	257	4263	240	216	181	176	121	121	121	116	84
38	215	197	238	247	211	215	204	123	87	84	118	121
39	257	256	211	234	212	4241	179	86	119	121	120	121
40	216	204	254	242	203	161	4221	121	120	88	84	117
41	241	259	260	238	4221	218	218	110	99	121	114	105
42	207	210	309	244	180	164	197	121	121	85	86	120
43	254	228	216	217	214	211	174	122	92	84	4134	121
44	258	261	228	185	182	211	213	107	84	103	120	121
45	219	216	247	237	212	212	168	88	4127	120	109	79
46	212	256	265	241	180	163	212	122	121	117	104	84
47	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
