mode	position	offset_bytes	role	avg_cycles	probes
load	0	0	accessed	88	20
load	1	64	cache_miss	181	20
load	2	128	cache_miss	296	20
load	3	192	cache_miss	388	20
load	4	256	cache_miss	378	20
load	5	320	cache_miss	390	20
load	6	384	cache_miss	376	20
load	7	448	cache_miss	393	20
load	8	512	cache_miss	372	20
load	9	576	cache_miss	378	20
load	10	640	cache_miss	392	20
load	11	704	accessed	90	20
load	12	768	cache_miss	196	20
load	13	832	cache_miss	382	20
load	14	896	cache_miss	366	20
load	15	960	cache_miss	386	20
load	16	1024	cache_miss	378	20
load	17	1088	cache_miss	382	20
load	18	1152	cache_miss	362	20
load	19	1216	cache_miss	373	20
load	20	1280	cache_miss	361	20
load	21	1344	cache_miss	393	20
load	22	1408	accessed	84	20
load	23	1472	cache_miss	385	20
load	24	1536	cache_miss	362	20
load	25	1600	cache_miss	369	20
load	26	1664	cache_miss	388	20
load	27	1728	cache_miss	391	20
load	28	1792	cache_miss	374	20
load	29	1856	cache_miss	367	20
load	30	1920	cache_miss	397	20
load	31	1984	cache_miss	372	20
load	32	2048	cache_miss	380	20
load	33	2112	accessed	88	20
load	34	2176	cache_miss	386	20
load	35	2240	cache_miss	459	20
load	36	2304	cache_miss	373	20
load	37	2368	cache_miss	397	20
load	38	2432	cache_miss	386	20
load	39	2496	cache_miss	367	20
load	40	2560	cache_miss	381	20
load	41	2624	cache_miss	417	20
load	42	2688	cache_miss	373	20
load	43	2752	cache_miss	388	20
load	44	2816	accessed	88	20
load	45	2880	cache_miss	187	20
load	46	2944	cache_miss	392	20
load	47	3008	cache_miss	390	20
load	48	3072	cache_miss	360	20
load	49	3136	cache_miss	384	20
load	50	3200	cache_miss	386	20
load	51	3264	cache_miss	375	20
load	52	3328	cache_miss	368	20
load	53	3392	cache_miss	378	20
load	54	3456	cache_miss	378	20
load	55	3520	accessed	86	20
load	56	3584	cache_miss	166	20
load	57	3648	cache_miss	369	20
load	58	3712	cache_miss	396	20
load	59	3776	cache_miss	400	20
load	60	3840	cache_miss	362	20
load	61	3904	cache_miss	412	20
load	62	3968	cache_miss	397	20
load	63	4032	cache_miss	392	20
load	64	4096	cache_miss	361	20
load	65	4160	cache_miss	361	20
load	66	4224	accessed	90	20
load	67	4288	cache_miss	200	20
load	68	4352	cache_miss	346	20
load	69	4416	cache_miss	358	20
load	70	4480	cache_miss	379	20
load	71	4544	cache_miss	358	20
load	72	4608	cache_miss	376	20
load	73	4672	cache_miss	343	20
load	74	4736	cache_miss	349	20
load	75	4800	cache_miss	366	20
load	76	4864	cache_miss	369	20
load	77	4928	prefetched	87	20
load	78	4992	cache_miss	356	20
load	79	5056	cache_miss	364	20
load	80	5120	cache_miss	344	20
load	81	5184	cache_miss	385	20
load	82	5248	cache_miss	345	20
load	83	5312	cache_miss	352	20
load	84	5376	cache_miss	344	20
load	85	5440	cache_miss	368	20
load	86	5504	cache_miss	358	20
load	87	5568	cache_miss	368	20
load	88	5632	prefetched	91	20
load	89	5696	cache_miss	382	20
load	90	5760	cache_miss	352	20
load	91	5824	cache_miss	388	20
load	92	5888	cache_miss	358	20
load	93	5952	cache_miss	380	20
load	94	6016	cache_miss	366	20
load	95	6080	cache_miss	354	20
load	96	6144	cache_miss	357	20
load	97	6208	cache_miss	350	20
load	98	6272	cache_miss	357	20
load	99	6336	prefetched	88	20
load	100	6400	cache_miss	351	20
load	101	6464	cache_miss	356	20
load	102	6528	cache_miss	357	20
load	103	6592	cache_miss	356	20
load	104	6656	cache_miss	386	20
load	105	6720	cache_miss	343	20
load	106	6784	cache_miss	393	20
load	107	6848	cache_miss	356	20
load	108	6912	cache_miss	343	20
load	109	6976	cache_miss	396	20
load	110	7040	prefetched	98	20
load	111	7104	cache_miss	361	20
load	112	7168	cache_miss	354	20
load	113	7232	cache_miss	356	20
load	114	7296	cache_miss	360	20
load	115	7360	cache_miss	357	20
load	116	7424	cache_miss	348	20
load	117	7488	cache_miss	376	20
load	118	7552	cache_miss	358	20
load	119	7616	cache_miss	370	20
load	120	7680	cache_miss	360	20
load	121	7744	prefetched	100	20
load	122	7808	cache_miss	343	20
load	123	7872	cache_miss	357	20
load	124	7936	cache_miss	342	20
load	125	8000	cache_miss	378	20
load	126	8064	cache_miss	366	20
load	127	8128	cache_miss	380	20
load	128	8192	cache_miss	338	20
load	129	8256	cache_miss	355	20
load	130	8320	cache_miss	327	20
load	131	8384	cache_miss	355	20
load	132	8448	cache_miss	122	20
load	133	8512	cache_miss	372	20
load	134	8576	cache_miss	356	20
load	135	8640	cache_miss	342	20
load	136	8704	cache_miss	337	20
load	137	8768	cache_miss	337	20
load	138	8832	cache_miss	343	20
load	139	8896	cache_miss	348	20
load	140	8960	cache_miss	378	20
load	141	9024	cache_miss	352	20
load	142	9088	cache_miss	351	20
load	143	9152	cache_miss	339	20
load	144	9216	cache_miss	349	20
load	145	9280	cache_miss	337	20
load	146	9344	cache_miss	330	20
load	147	9408	cache_miss	372	20
load	148	9472	cache_miss	327	20
load	149	9536	cache_miss	351	20
load	150	9600	cache_miss	369	20
load	151	9664	cache_miss	337	20
load	152	9728	cache_miss	340	20
load	153	9792	cache_miss	321	20
load	154	9856	cache_miss	334	20
load	155	9920	cache_miss	369	20
load	156	9984	cache_miss	351	20
load	157	10048	cache_miss	333	20
load	158	10112	cache_miss	357	20
load	159	10176	cache_miss	372	20
load	160	10240	cache_miss	319	20
load	161	10304	cache_miss	356	20
load	162	10368	cache_miss	345	20
load	163	10432	cache_miss	368	20
load	164	10496	cache_miss	328	20
load	165	10560	cache_miss	343	20
load	166	10624	cache_miss	337	20
load	167	10688	cache_miss	356	20
load	168	10752	cache_miss	369	20
load	169	10816	cache_miss	356	20
load	170	10880	cache_miss	357	20
load	171	10944	cache_miss	361	20
load	172	11008	cache_miss	373	20
load	173	11072	cache_miss	354	20
load	174	11136	cache_miss	369	20
load	175	11200	cache_miss	354	20
load	176	11264	prefetched	97	20
load	177	11328	cache_miss	322	20
load	178	11392	cache_miss	337	20
load	179	11456	cache_miss	334	20
load	180	11520	cache_miss	354	20
load	181	11584	cache_miss	340	20
load	182	11648	cache_miss	345	20
load	183	11712	cache_miss	334	20
load	184	11776	cache_miss	324	20
load	185	11840	cache_miss	326	20
load	186	11904	cache_miss	337	20
load	187	11968	prefetched	96	20
load	188	12032	cache_miss	367	20
load	189	12096	cache_miss	344	20
load	190	12160	cache_miss	354	20
load	191	12224	cache_miss	337	20
load	192	12288	cache_miss	386	20
load	193	12352	cache_miss	354	20
load	194	12416	cache_miss	351	20
load	195	12480	cache_miss	348	20
load	196	12544	cache_miss	384	20
load	197	12608	cache_miss	358	20
load	198	12672	cache_miss	374	20
load	199	12736	cache_miss	381	20
store	0	0	accessed	85	20
store	1	64	cache_miss	151	20
store	2	128	cache_miss	328	20
store	3	192	cache_miss	346	20
store	4	256	cache_miss	346	20
store	5	320	cache_miss	361	20
store	6	384	cache_miss	358	20
store	7	448	cache_miss	350	20
store	8	512	cache_miss	333	20
store	9	576	cache_miss	366	20
store	10	640	cache_miss	356	20
store	11	704	accessed	86	20
store	12	768	cache_miss	169	20
store	13	832	cache_miss	342	20
store	14	896	cache_miss	358	20
store	15	960	cache_miss	364	20
store	16	1024	cache_miss	332	20
store	17	1088	cache_miss	337	20
store	18	1152	cache_miss	338	20
store	19	1216	cache_miss	338	20
store	20	1280	cache_miss	351	20
store	21	1344	cache_miss	362	20
store	22	1408	accessed	86	20
store	23	1472	cache_miss	348	20
store	24	1536	cache_miss	351	20
store	25	1600	cache_miss	356	20
store	26	1664	cache_miss	339	20
store	27	1728	cache_miss	349	20
store	28	1792	cache_miss	379	20
store	29	1856	cache_miss	342	20
store	30	1920	cache_miss	372	20
store	31	1984	cache_miss	370	20
store	32	2048	cache_miss	388	20
store	33	2112	accessed	82	20
store	34	2176	cache_miss	310	20
store	35	2240	cache_miss	339	20
store	36	2304	cache_miss	376	20
store	37	2368	cache_miss	354	20
store	38	2432	cache_miss	398	20
store	39	2496	cache_miss	349	20
store	40	2560	cache_miss	349	20
store	41	2624	cache_miss	337	20
store	42	2688	cache_miss	362	20
store	43	2752	cache_miss	340	20
store	44	2816	accessed	88	20
store	45	2880	cache_miss	201	20
store	46	2944	cache_miss	360	20
store	47	3008	cache_miss	384	20
store	48	3072	cache_miss	339	20
store	49	3136	cache_miss	346	20
store	50	3200	cache_miss	351	20
store	51	3264	cache_miss	340	20
store	52	3328	cache_miss	361	20
store	53	3392	cache_miss	343	20
store	54	3456	cache_miss	348	20
store	55	3520	accessed	86	20
store	56	3584	cache_miss	162	20
store	57	3648	cache_miss	336	20
store	58	3712	cache_miss	362	20
store	59	3776	cache_miss	342	20
store	60	3840	cache_miss	346	20
store	61	3904	cache_miss	345	20
store	62	3968	cache_miss	366	20
store	63	4032	cache_miss	349	20
store	64	4096	cache_miss	348	20
store	65	4160	cache_miss	350	20
store	66	4224	accessed	86	20
store	67	4288	cache_miss	171	20
store	68	4352	cache_miss	339	20
store	69	4416	cache_miss	342	20
store	70	4480	cache_miss	340	20
store	71	4544	cache_miss	361	20
store	72	4608	cache_miss	358	20
store	73	4672	cache_miss	384	20
store	74	4736	cache_miss	337	20
store	75	4800	cache_miss	357	20
store	76	4864	cache_miss	345	20
store	77	4928	cache_miss	355	20
store	78	4992	cache_miss	348	20
store	79	5056	cache_miss	358	20
store	80	5120	cache_miss	328	20
store	81	5184	cache_miss	398	20
store	82	5248	cache_miss	356	20
store	83	5312	cache_miss	358	20
store	84	5376	cache_miss	372	20
