# x86 stride prefetch latency map
# access mode: software prefetch (prefetcht0)
# stride_bytes=704 train_step=15 rounds=4000 probe_positions=200
# position	offset_bytes	avg_cycles	probes
  0	           0	        32	   20
  1	          64	       243	   20
  2	         128	       247	   20
  3	         192	       244	   20
  4	         256	       357	   20
  5	         320	       268	   20
  6	         384	       263	   20
  7	         448	       264	   20
  8	         512	       239	   20
  9	         576	       239	   20
 10	         640	       234	   20
 11	         704	        34	   20
 12	         768	       305	   20
 13	         832	       360	   20
 14	         896	       298	   20
 15	         960	       420	   20
 16	        1024	       237	   20
 17	        1088	       328	   20
 18	        1152	       264	   20
 19	        1216	       323	   20
 20	        1280	       367	   20
 21	        1344	       264	   20
 22	        1408	        32	   20
 23	        1472	       258	   20
 24	        1536	       254	   20
 25	        1600	       254	   20
 26	        1664	       253	   20
 27	        1728	       256	   20
 28	        1792	       314	   20
 29	        1856	       334	   20
 30	        1920	       260	   20
 31	        1984	       311	   20
 32	        2048	       263	   20
 33	        2112	        30	   20
 34	        2176	       257	   20
 35	        2240	       268	   20
 36	        2304	       297	   20
 37	        2368	       261	   20
 38	        2432	       300	   20
 39	        2496	       259	   20
 40	        2560	       321	   20
 41	        2624	       259	   20
 42	        2688	       255	   20
 43	        2752	       254	   20
 44	        2816	        30	   20
 45	        2880	       320	   20
 46	        2944	       271	   20
 47	        3008	       321	   20
 48	        3072	       240	   20
 49	        3136	       292	   20
 50	        3200	       289	   20
 51	        3264	       260	   20
 52	        3328	       336	   20
 53	        3392	       267	   20
 54	        3456	       349	   20
 55	        3520	        30	   20
 56	        3584	       231	   20
 57	        3648	       231	   20
 58	        3712	       234	   20
 59	        3776	       236	   20
 60	        3840	       316	   20
 61	        3904	       412	   20
 62	        3968	       299	   20
 63	        4032	       331	   20
 64	        4096	       232	   20
 65	        4160	       242	   20
 66	        4224	        30	   20
 67	        4288	       257	   20
 68	        4352	       359	   20
 69	        4416	       262	   20
 70	        4480	       348	   20
 71	        4544	       260	   20
 72	        4608	       250	   20
 73	        4672	       244	   20
 74	        4736	       247	   20
 75	        4800	       246	   20
 76	        4864	       301	   20
 77	        4928	        30	   20
 78	        4992	       293	   20
 79	        5056	       259	   20
 80	        5120	       256	   20
 81	        5184	       305	   20
 82	        5248	       259	   20
 83	        5312	       281	   20
 84	        5376	       362	   20
 85	        5440	       256	   20
 86	        5504	       397	   20
 87	        5568	       255	   20
 88	        5632	        29	   20
 89	        5696	       235	   20
 90	        5760	       254	   20
 91	        5824	       238	   20
 92	        5888	       262	   20
 93	        5952	       369	   20
 94	        6016	       319	   20
 95	        6080	       310	   20
 96	        6144	       256	   20
 97	        6208	       288	   20
 98	        6272	       262	   20
 99	        6336	        29	   20
100	        6400	       315	   20
101	        6464	       254	   20
102	        6528	       311	   20
103	        6592	       260	   20
104	        6656	       285	   20
105	        6720	       255	   20
106	        6784	       240	   20
107	        6848	       260	   20
108	        6912	       293	   20
109	        6976	       363	   20
110	        7040	        29	   20
111	        7104	       418	   20
112	        7168	       235	   20
113	        7232	       242	   20
114	        7296	       234	   20
115	        7360	       252	   20
116	        7424	       260	   20
117	        7488	       260	   20
118	        7552	       360	   20
119	        7616	       256	   20
120	        7680	       299	   20
121	        7744	        29	   20
122	        7808	       243	   20
123	        7872	       252	   20
124	        7936	       285	   20
125	        8000	       434	   20
126	        8064	       265	   20
127	        8128	       361	   20
128	        8192	       282	   20
129	        8256	       254	   20
130	        8320	       252	   20
131	        8384	       254	   20
132	        8448	        29	   20
133	        8512	       256	   20
134	        8576	       257	   20
135	        8640	       259	   20
136	        8704	       230	   20
137	        8768	       235	   20
138	        8832	       260	   20
139	        8896	       264	   20
140	        8960	       294	   20
141	        9024	       393	   20
142	        9088	       272	   20
143	        9152	        30	   20
144	        9216	       263	   20
145	        9280	       287	   20
146	        9344	       231	   20
147	        9408	       243	   20
148	        9472	       370	   20
149	        9536	       258	   20
150	        9600	       253	   20
151	        9664	       257	   20
152	        9728	       249	   20
153	        9792	       239	   20
154	        9856	        29	   20
155	        9920	       241	   20
156	        9984	       311	   20
157	       10048	       422	   20
158	       10112	       269	   20
159	       10176	       363	   20
160	       10240	       230	   20
161	       10304	       264	   20
162	       10368	       233	   20
163	       10432	       234	   20
164	       10496	       314	   20
165	       10560	       255	   20
166	       10624	       367	   20
167	       10688	       277	   20
168	       10752	       241	   20
169	       10816	       239	   20
170	       10880	       301	   20
171	       10944	       241	   20
172	       11008	       280	   20
173	       11072	       361	   20
174	       11136	       343	   20
175	       11200	       306	   20
176	       11264	       258	   20
177	       11328	       293	   20
178	       11392	       254	   20
179	       11456	       296	   20
180	       11520	       295	   20
181	       11584	       257	   20
182	       11648	       256	   20
183	       11712	       259	   20
184	       11776	       261	   20
185	       11840	       259	   20
186	       11904	       292	   20
187	       11968	       241	   20
188	       12032	       322	   20
189	       12096	       260	   20
190	       12160	       277	   20
191	       12224	       411	   20
192	       12288	       257	   20
193	       12352	       250	   20
194	       12416	       269	   20
195	       12480	       269	   20
196	       12544	       394	   20
197	       12608	       266	   20
198	       12672	       318	   20
199	       12736	       269	   20

