# x86 stride prefetch latency map
# access mode: load
# stride_bytes=1920 train_step=15 rounds=4000 probe_positions=200
# position	offset_bytes	avg_cycles	probes
  0	           0	        28	   20
  1	          64	        97	   20
  2	         128	        52	   20
  3	         192	       243	   20
  4	         256	       314	   20
  5	         320	       388	   20
  6	         384	       298	   20
  7	         448	       291	   20
  8	         512	       261	   20
  9	         576	       259	   20
 10	         640	       265	   20
 11	         704	       255	   20
 12	         768	       257	   20
 13	         832	       256	   20
 14	         896	       305	   20
 15	         960	       262	   20
 16	        1024	       246	   20
 17	        1088	       294	   20
 18	        1152	       243	   20
 19	        1216	       295	   20
 20	        1280	       380	   20
 21	        1344	       318	   20
 22	        1408	       257	   20
 23	        1472	       279	   20
 24	        1536	       235	   20
 25	        1600	       237	   20
 26	        1664	       230	   20
 27	        1728	       231	   20
 28	        1792	       330	   20
 29	        1856	       258	   20
 30	        1920	        28	   20
 31	        1984	       258	   20
 32	        2048	       252	   20
 33	        2112	       243	   20
 34	        2176	       256	   20
 35	        2240	       306	   20
 36	        2304	       288	   20
 37	        2368	       349	   20
 38	        2432	       256	   20
 39	        2496	       289	   20
 40	        2560	       231	   20
 41	        2624	       231	   20
 42	        2688	       236	   20
 43	        2752	       234	   20
 44	        2816	       281	   20
 45	        2880	       274	   20
 46	        2944	       260	   20
 47	        3008	       276	   20
 48	        3072	       232	   20
 49	        3136	       235	   20
 50	        3200	       246	   20
 51	        3264	       259	   20
 52	        3328	       257	   20
 53	        3392	       326	   20
 54	        3456	       255	   20
 55	        3520	       378	   20
 56	        3584	       255	   20
 57	        3648	       257	   20
 58	        3712	       108	   20
 59	        3776	       108	   20
 60	        3840	        27	   20
 61	        3904	       218	   20
 62	        3968	        40	   20
 63	        4032	       119	   20
 64	        4096	       232	   20
 65	        4160	       256	   20
 66	        4224	       239	   20
 67	        4288	       252	   20
 68	        4352	       287	   20
 69	        4416	       345	   20
 70	        4480	       257	   20
 71	        4544	       260	   20
 72	        4608	       259	   20
 73	        4672	       255	   20
 74	        4736	       256	   20
 75	        4800	       257	   20
 76	        4864	       265	   20
 77	        4928	       255	   20
 78	        4992	       308	   20
 79	        5056	       257	   20
 80	        5120	       247	   20
 81	        5184	       247	   20
 82	        5248	       249	   20
 83	        5312	       253	   20
 84	        5376	       317	   20
 85	        5440	       285	   20
 86	        5504	       254	   20
 87	        5568	       360	   20
 88	        5632	       235	   20
 89	        5696	       233	   20
 90	        5760	        28	   20
 91	        5824	       191	   20
 92	        5888	       336	   20
 93	        5952	       261	   20
 94	        6016	       325	   20
 95	        6080	       298	   20
 96	        6144	       243	   20
 97	        6208	       250	   20
 98	        6272	       246	   20
 99	        6336	       246	   20
100	        6400	       319	   20
101	        6464	       297	   20
102	        6528	       292	   20
103	        6592	       256	   20
104	        6656	       232	   20
105	        6720	       231	   20
106	        6784	       237	   20
107	        6848	       235	   20
108	        6912	       328	   20
109	        6976	       294	   20
110	        7040	       296	   20
111	        7104	       306	   20
112	        7168	       252	   20
113	        7232	       250	   20
114	        7296	       267	   20
115	        7360	       247	   20
116	        7424	       294	   20
117	        7488	       284	   20
118	        7552	       351	   20
119	        7616	       290	   20
120	        7680	        28	   20
121	        7744	       255	   20
122	        7808	       141	   20
123	        7872	       258	   20
124	        7936	       258	   20
125	        8000	       300	   20
126	        8064	       296	   20
127	        8128	       272	   20
128	        8192	       231	   20
129	        8256	       237	   20
130	        8320	       229	   20
131	        8384	       230	   20
132	        8448	       369	   20
133	        8512	       381	   20
134	        8576	       285	   20
135	        8640	       288	   20
136	        8704	       240	   20
137	        8768	       241	   20
138	        8832	       242	   20
139	        8896	       240	   20
140	        8960	       267	   20
141	        9024	       273	   20
142	        9088	       286	   20
143	        9152	       259	   20
144	        9216	       253	   20
145	        9280	       253	   20
146	        9344	       265	   20
147	        9408	       253	   20
148	        9472	       289	   20
149	        9536	       322	   20
150	        9600	        27	   20
151	        9664	       237	   20
152	        9728	       252	   20
153	        9792	       228	   20
154	        9856	       261	   20
155	        9920	       259	   20
156	        9984	       306	   20
157	       10048	       277	   20
158	       10112	       267	   20
159	       10176	       280	   20
160	       10240	       251	   20
161	       10304	       254	   20
162	       10368	       262	   20
163	       10432	       251	   20
164	       10496	       292	   20
165	       10560	       393	   20
166	       10624	       257	   20
167	       10688	       329	   20
168	       10752	       258	   20
169	       10816	       266	   20
170	       10880	       241	   20
171	       10944	       257	   20
172	       11008	       257	   20
173	       11072	       296	   20
174	       11136	       349	   20
175	       11200	       278	   20
176	       11264	       228	   20
177	       11328	       227	   20
178	       11392	       232	   20
179	       11456	       233	   20
180	       11520	        27	   20
181	       11584	       316	   20
182	       11648	       224	   20
183	       11712	       351	   20
184	       11776	       238	   20
185	       11840	       239	   20
186	       11904	       240	   20
187	       11968	       243	   20
188	       12032	       327	   20
189	       12096	       263	   20
190	       12160	       298	   20
191	       12224	       257	   20
192	       12288	       271	   20
193	       12352	       311	   20
194	       12416	       246	   20
195	       12480	       236	   20
196	       12544	       286	   20
197	       12608	      1888	   20
198	       12672	       353	   20
199	       12736	       254	   20

