# x86 stride prefetch latency map
# access mode: load
# stride_bytes=704 train_step=15 rounds=4000 probe_positions=200
# position	offset_bytes	avg_cycles	probes
  0	           0	        31	   20
  1	          64	       242	   20
  2	         128	       215	   20
  3	         192	       252	   20
  4	         256	       308	   20
  5	         320	       241	   20
  6	         384	       245	   20
  7	         448	       285	   20
  8	         512	       247	   20
  9	         576	       293	   20
 10	         640	       276	   20
 11	         704	        31	   20
 12	         768	       250	   20
 13	         832	       256	   20
 14	         896	       278	   20
 15	         960	       237	   20
 16	        1024	       535	   20
 17	        1088	       279	   20
 18	        1152	       256	   20
 19	        1216	       256	   20
 20	        1280	       236	   20
 21	        1344	       254	   20
 22	        1408	        31	   20
 23	        1472	       293	   20
 24	        1536	       329	   20
 25	        1600	       260	   20
 26	        1664	       247	   20
 27	        1728	       275	   20
 28	        1792	       251	   20
 29	        1856	       308	   20
 30	        1920	       238	   20
 31	        1984	       327	   20
 32	        2048	       213	   20
 33	        2112	        31	   20
 34	        2176	       221	   20
 35	        2240	       220	   20
 36	        2304	       252	   20
 37	        2368	       287	   20
 38	        2432	       238	   20
 39	        2496	       291	   20
 40	        2560	       286	   20
 41	        2624	       238	   20
 42	        2688	       254	   20
 43	        2752	       259	   20
 44	        2816	        31	   20
 45	        2880	       327	   20
 46	        2944	       271	   20
 47	        3008	       287	   20
 48	        3072	       296	   20
 49	        3136	       329	   20
 50	        3200	       248	   20
 51	        3264	       267	   20
 52	        3328	       264	   20
 53	        3392	       272	   20
 54	        3456	       291	   20
 55	        3520	        31	   20
 56	        3584	       277	   20
 57	        3648	       259	   20
 58	        3712	       303	   20
 59	        3776	       274	   20
 60	        3840	       305	   20
 61	        3904	       280	   20
 62	        3968	       277	   20
 63	        4032	       322	   20
 64	        4096	       237	   20
 65	        4160	       229	   20
 66	        4224	        31	   20
 67	        4288	       308	   20
 68	        4352	       257	   20
 69	        4416	       216	   20
 70	        4480	       241	   20
 71	        4544	       235	   20
 72	        4608	       219	   20
 73	        4672	       249	   20
 74	        4736	       234	   20
 75	        4800	       296	   20
 76	        4864	       296	   20
 77	        4928	        31	   20
 78	        4992	       227	   20
 79	        5056	       276	   20
 80	        5120	       251	   20
 81	        5184	       254	   20
 82	        5248	       267	   20
 83	        5312	       229	   20
 84	        5376	       311	   20
 85	        5440	       219	   20
 86	        5504	       344	   20
 87	        5568	       295	   20
 88	        5632	        31	   20
 89	        5696	       314	   20
 90	        5760	       286	   20
 91	        5824	       297	   20
 92	        5888	       287	   20
 93	        5952	       224	   20
 94	        6016	       255	   20
 95	        6080	       270	   20
 96	        6144	       264	   20
 97	        6208	       245	   20
 98	        6272	       252	   20
 99	        6336	        31	   20
100	        6400	       286	   20
101	        6464	       266	   20
102	        6528	       284	   20
103	        6592	       253	   20
104	        6656	       286	   20
105	        6720	       230	   20
106	        6784	       298	   20
107	        6848	       324	   20
108	        6912	       284	   20
109	        6976	       284	   20
110	        7040	        31	   20
111	        7104	       233	   20
112	        7168	       234	   20
113	        7232	       286	   20
114	        7296	       253	   20
115	        7360	       245	   20
116	        7424	       274	   20
117	        7488	       259	   20
118	        7552	       284	   20
119	        7616	       288	   20
120	        7680	       228	   20
121	        7744	        31	   20
122	        7808	       251	   20
123	        7872	       288	   20
124	        7936	       281	   20
125	        8000	       280	   20
126	        8064	       269	   20
127	        8128	       327	   20
128	        8192	       260	   20
129	        8256	       271	   20
130	        8320	       237	   20
131	        8384	       257	   20
132	        8448	        31	   20
133	        8512	       253	   20
134	        8576	       296	   20
135	        8640	       233	   20
136	        8704	       255	   20
137	        8768	       308	   20
138	        8832	       498	   20
139	        8896	       283	   20
140	        8960	       269	   20
141	        9024	       264	   20
142	        9088	       338	   20
143	        9152	        31	   20
144	        9216	       257	   20
145	        9280	       269	   20
146	        9344	       324	   20
147	        9408	       286	   20
148	        9472	       325	   20
149	        9536	       276	   20
150	        9600	       262	   20
151	        9664	       282	   20
152	        9728	       277	   20
153	        9792	       260	   20
154	        9856	        31	   20
155	        9920	       265	   20
156	        9984	       251	   20
157	       10048	       263	   20
158	       10112	       233	   20
159	       10176	       278	   20
160	       10240	       254	   20
161	       10304	       251	   20
162	       10368	       254	   20
163	       10432	       273	   20
164	       10496	       245	   20
165	       10560	       251	   20
166	       10624	       223	   20
167	       10688	       233	   20
168	       10752	       279	   20
169	       10816	       268	   20
170	       10880	       273	   20
171	       10944	       315	   20
172	       11008	       282	   20
173	       11072	       263	   20
174	       11136	       264	   20
175	       11200	       272	   20
176	       11264	       267	   20
177	       11328	       512	   20
178	       11392	       295	   20
179	       11456	       298	   20
180	       11520	       256	   20
181	       11584	       283	   20
182	       11648	       239	   20
183	       11712	       279	   20
184	       11776	       260	   20
185	       11840	       280	   20
186	       11904	       312	   20
187	       11968	       238	   20
188	       12032	       236	   20
189	       12096	       293	   20
190	       12160	       284	   20
191	       12224	       228	   20
192	       12288	       267	   20
193	       12352	       234	   20
194	       12416	       254	   20
195	       12480	       238	   20
196	       12544	       232	   20
197	       12608	       260	   20
198	       12672	       278	   20
199	       12736	       235	   20

