# x86 stride prefetch latency map
# access mode: software prefetch (prefetcht0)
# stride_bytes=704 train_step=15 rounds=4000 probe_positions=200
# position	offset_bytes	avg_cycles	probes
  0	           0	        31	   20
  1	          64	       284	   20
  2	         128	       269	   20
  3	         192	       267	   20
  4	         256	       244	   20
  5	         320	       240	   20
  6	         384	       261	   20
  7	         448	       315	   20
  8	         512	       346	   20
  9	         576	       303	   20
 10	         640	       285	   20
 11	         704	        31	   20
 12	         768	       256	   20
 13	         832	       255	   20
 14	         896	       241	   20
 15	         960	       289	   20
 16	        1024	       312	   20
 17	        1088	       349	   20
 18	        1152	       233	   20
 19	        1216	       246	   20
 20	        1280	       299	   20
 21	        1344	       333	   20
 22	        1408	        31	   20
 23	        1472	       257	   20
 24	        1536	       247	   20
 25	        1600	       243	   20
 26	        1664	       301	   20
 27	        1728	       279	   20
 28	        1792	       241	   20
 29	        1856	       284	   20
 30	        1920	       240	   20
 31	        1984	       249	   20
 32	        2048	       230	   20
 33	        2112	        31	   20
 34	        2176	       246	   20
 35	        2240	       270	   20
 36	        2304	       213	   20
 37	        2368	       267	   20
 38	        2432	       235	   20
 39	        2496	       216	   20
 40	        2560	       213	   20
 41	        2624	       209	   20
 42	        2688	       228	   20
 43	        2752	       211	   20
 44	        2816	        31	   20
 45	        2880	       228	   20
 46	        2944	       244	   20
 47	        3008	       231	   20
 48	        3072	       216	   20
 49	        3136	       247	   20
 50	        3200	       225	   20
 51	        3264	       215	   20
 52	        3328	       230	   20
 53	        3392	       215	   20
 54	        3456	       269	   20
 55	        3520	        31	   20
 56	        3584	       220	   20
 57	        3648	       271	   20
 58	        3712	       220	   20
 59	        3776	       241	   20
 60	        3840	       273	   20
 61	        3904	       252	   20
 62	        3968	       254	   20
 63	        4032	       235	   20
 64	        4096	       224	   20
 65	        4160	       244	   20
 66	        4224	        31	   20
 67	        4288	       277	   20
 68	        4352	       258	   20
 69	        4416	       263	   20
 70	        4480	       276	   20
 71	        4544	       252	   20
 72	        4608	       270	   20
 73	        4672	       289	   20
 74	        4736	       303	   20
 75	        4800	       249	   20
 76	        4864	       282	   20
 77	        4928	        31	   20
 78	        4992	       297	   20
 79	        5056	       306	   20
 80	        5120	       247	   20
 81	        5184	       333	   20
 82	        5248	       229	   20
 83	        5312	       266	   20
 84	        5376	       302	   20
 85	        5440	       262	   20
 86	        5504	       295	   20
 87	        5568	       228	   20
 88	        5632	        31	   20
 89	        5696	       237	   20
 90	        5760	       288	   20
 91	        5824	       228	   20
 92	        5888	       331	   20
 93	        5952	       266	   20
 94	        6016	       260	   20
 95	        6080	       219	   20
 96	        6144	       224	   20
 97	        6208	       274	   20
 98	        6272	       264	   20
 99	        6336	        31	   20
100	        6400	       251	   20
101	        6464	       249	   20
102	        6528	       225	   20
103	        6592	       279	   20
104	        6656	       232	   20
105	        6720	       239	   20
106	        6784	       251	   20
107	        6848	       264	   20
108	        6912	       263	   20
109	        6976	       253	   20
110	        7040	        31	   20
111	        7104	       469	   20
112	        7168	       264	   20
113	        7232	       231	   20
114	        7296	       237	   20
115	        7360	       261	   20
116	        7424	       268	   20
117	        7488	       214	   20
118	        7552	       214	   20
119	        7616	       213	   20
120	        7680	       249	   20
121	        7744	        31	   20
122	        7808	       226	   20
123	        7872	       218	   20
124	        7936	       285	   20
125	        8000	       221	   20
126	        8064	       258	   20
127	        8128	       247	   20
128	        8192	       270	   20
129	        8256	       225	   20
130	        8320	       238	   20
131	        8384	       253	   20
132	        8448	        31	   20
133	        8512	       248	   20
134	        8576	       236	   20
135	        8640	       252	   20
136	        8704	       262	   20
137	        8768	       247	   20
138	        8832	       273	   20
139	        8896	       297	   20
140	        8960	       223	   20
141	        9024	       307	   20
142	        9088	       240	   20
143	        9152	        31	   20
144	        9216	       256	   20
145	        9280	       263	   20
146	        9344	       278	   20
147	        9408	       277	   20
148	        9472	       277	   20
149	        9536	       333	   20
150	        9600	       256	   20
151	        9664	       281	   20
152	        9728	       237	   20
153	        9792	       239	   20
154	        9856	        31	   20
155	        9920	       308	   20
156	        9984	       288	   20
157	       10048	       295	   20
158	       10112	       300	   20
159	       10176	       271	   20
160	       10240	       252	   20
161	       10304	       246	   20
162	       10368	       221	   20
163	       10432	       237	   20
164	       10496	       214	   20
165	       10560	       237	   20
166	       10624	       259	   20
167	       10688	       284	   20
168	       10752	       243	   20
169	       10816	       269	   20
170	       10880	       246	   20
171	       10944	       240	   20
172	       11008	       210	   20
173	       11072	       244	   20
174	       11136	       236	   20
175	       11200	       234	   20
176	       11264	       245	   20
177	       11328	       224	   20
178	       11392	       267	   20
179	       11456	       248	   20
180	       11520	       218	   20
181	       11584	       247	   20
182	       11648	       267	   20
183	       11712	       232	   20
184	       11776	       259	   20
185	       11840	       253	   20
186	       11904	       222	   20
187	       11968	       228	   20
188	       12032	       280	   20
189	       12096	       257	   20
190	       12160	       251	   20
191	       12224	       236	   20
192	       12288	       224	   20
193	       12352	       265	   20
194	       12416	       230	   20
195	       12480	       278	   20
196	       12544	       234	   20
197	       12608	       224	   20
198	       12672	       268	   20
199	       12736	       272	   20

