# x86 stride prefetch latency map
# access mode: software prefetch (prefetcht0)
# stride_bytes=704 train_step=15 rounds=4000 probe_positions=200
# position	offset_bytes	avg_cycles	probes
  0	           0	        46	   20
  1	          64	       280	   20
  2	         128	       301	   20
  3	         192	       297	   20
  4	         256	       282	   20
  5	         320	      1800	   20
  6	         384	       279	   20
  7	         448	       270	   20
  8	         512	       268	   20
  9	         576	       264	   20
 10	         640	       289	   20
 11	         704	        42	   20
 12	         768	       277	   20
 13	         832	       273	   20
 14	         896	       301	   20
 15	         960	       282	   20
 16	        1024	       292	   20
 17	        1088	       273	   20
 18	        1152	       271	   20
 19	        1216	       273	   20
 20	        1280	       267	   20
 21	        1344	       288	   20
 22	        1408	        40	   20
 23	        1472	       289	   20
 24	        1536	       283	   20
 25	        1600	       265	   20
 26	        1664	       278	   20
 27	        1728	       282	   20
 28	        1792	       267	   20
 29	        1856	       282	   20
 30	        1920	       267	   20
 31	        1984	       277	   20
 32	        2048	       265	   20
 33	        2112	        45	   20
 34	        2176	       266	   20
 35	        2240	       271	   20
 36	        2304	       267	   20
 37	        2368	       274	   20
 38	        2432	       271	   20
 39	        2496	       277	   20
 40	        2560	       264	   20
 41	        2624	       280	   20
 42	        2688	       268	   20
 43	        2752	       268	   20
 44	        2816	        44	   20
 45	        2880	       301	   20
 46	        2944	       272	   20
 47	        3008	       289	   20
 48	        3072	       264	   20
 49	        3136	       280	   20
 50	        3200	       266	   20
 51	        3264	       276	   20
 52	        3328	       279	   20
 53	        3392	       291	   20
 54	        3456	       284	   20
 55	        3520	        44	   20
 56	        3584	       264	   20
 57	        3648	       295	   20
 58	        3712	       267	   20
 59	        3776	       301	   20
 60	        3840	       270	   20
 61	        3904	       271	   20
 62	        3968	       273	   20
 63	        4032	       272	   20
 64	        4096	       290	   20
 65	        4160	       291	   20
 66	        4224	        39	   20
 67	        4288	       307	   20
 68	        4352	       304	   20
 69	        4416	       297	   20
 70	        4480	       321	   20
 71	        4544	       304	   20
 72	        4608	       289	   20
 73	        4672	       289	   20
 74	        4736	       289	   20
 75	        4800	       297	   20
 76	        4864	       296	   20
 77	        4928	        45	   20
 78	        4992	       306	   20
 79	        5056	       304	   20
 80	        5120	       295	   20
 81	        5184	       308	   20
 82	        5248	       290	   20
 83	        5312	       306	   20
 84	        5376	       298	   20
 85	        5440	       300	   20
 86	        5504	       313	   20
 87	        5568	       301	   20
 88	        5632	        44	   20
 89	        5696	       288	   20
 90	        5760	       308	   20
 91	        5824	       296	   20
 92	        5888	       313	   20
 93	        5952	       295	   20
 94	        6016	       300	   20
 95	        6080	       309	   20
 96	        6144	       304	   20
 97	        6208	       289	   20
 98	        6272	       292	   20
 99	        6336	        39	   20
100	        6400	       298	   20
101	        6464	       304	   20
102	        6528	       298	   20
103	        6592	       321	   20
104	        6656	       291	   20
105	        6720	       289	   20
106	        6784	       301	   20
107	        6848	       308	   20
108	        6912	       331	   20
109	        6976	       318	   20
110	        7040	        43	   20
111	        7104	       298	   20
112	        7168	       312	   20
113	        7232	       291	   20
114	        7296	       310	   20
115	        7360	       290	   20
116	        7424	       303	   20
117	        7488	       309	   20
118	        7552	       330	   20
119	        7616	       300	   20
120	        7680	       296	   20
121	        7744	        43	   20
122	        7808	       292	   20
123	        7872	       294	   20
124	        7936	       308	   20
125	        8000	       302	   20
126	        8064	       310	   20
127	        8128	       304	   20
128	        8192	       268	   20
129	        8256	       265	   20
130	        8320	       273	   20
131	        8384	       271	   20
132	        8448	        45	   20
133	        8512	       273	   20
134	        8576	       271	   20
135	        8640	       303	   20
136	        8704	       265	   20
137	        8768	       267	   20
138	        8832	       264	   20
139	        8896	       267	   20
140	        8960	       270	   20
141	        9024	       286	   20
142	        9088	       316	   20
143	        9152	        44	   20
144	        9216	       270	   20
145	        9280	       265	   20
146	        9344	       290	   20
147	        9408	       271	   20
148	        9472	       273	   20
149	        9536	       310	   20
150	        9600	       270	   20
151	        9664	       297	   20
152	        9728	       295	   20
153	        9792	       264	   20
154	        9856	        43	   20
155	        9920	       279	   20
156	        9984	       294	   20
157	       10048	       340	   20
158	       10112	       268	   20
159	       10176	       310	   20
160	       10240	       270	   20
161	       10304	       280	   20
162	       10368	       265	   20
163	       10432	       279	   20
164	       10496	       279	   20
165	       10560	       274	   20
166	       10624	       272	   20
167	       10688	       277	   20
168	       10752	       264	   20
169	       10816	       264	   20
170	       10880	       274	   20
171	       10944	       283	   20
172	       11008	       277	   20
173	       11072	       296	   20
174	       11136	       295	   20
175	       11200	       274	   20
176	       11264	       273	   20
177	       11328	       265	   20
178	       11392	       272	   20
179	       11456	       268	   20
180	       11520	       290	   20
181	       11584	       278	   20
182	       11648	       296	   20
183	       11712	       277	   20
184	       11776	       266	   20
185	       11840	       277	   20
186	       11904	       286	   20
187	       11968	       270	   20
188	       12032	       264	   20
189	       12096	       271	   20
190	       12160	       292	   20
191	       12224	       271	   20
192	       12288	       290	   20
193	       12352	       288	   20
194	       12416	       265	   20
195	       12480	       307	   20
196	       12544	       276	   20
197	       12608	       272	   20
198	       12672	       276	   20
199	       12736	       295	   20

