# x86 stride prefetch latency map
# access mode: load
# stride_bytes=704 train_step=5 rounds=4000 probe_positions=200
# position	offset_bytes	avg_cycles	probes
  0	           0	        45	   20
  1	          64	        93	   20
  2	         128	       249	   20
  3	         192	       274	   20
  4	         256	       292	   20
  5	         320	       274	   20
  6	         384	       294	   20
  7	         448	       288	   20
  8	         512	       288	   20
  9	         576	       278	   20
 10	         640	       291	   20
 11	         704	        48	   20
 12	         768	        93	   20
 13	         832	       274	   20
 14	         896	       284	   20
 15	         960	       290	   20
 16	        1024	       278	   20
 17	        1088	       284	   20
 18	        1152	       296	   20
 19	        1216	       276	   20
 20	        1280	       294	   20
 21	        1344	       278	   20
 22	        1408	        46	   20
 23	        1472	       280	   20
 24	        1536	       270	   20
 25	        1600	       282	   20
 26	        1664	       290	   20
 27	        1728	       285	   20
 28	        1792	       270	   20
 29	        1856	       284	   20
 30	        1920	       295	   20
 31	        1984	       280	   20
 32	        2048	       277	   20
 33	        2112	        46	   20
 34	        2176	       265	   20
 35	        2240	       279	   20
 36	        2304	       274	   20
 37	        2368	       288	   20
 38	        2432	       304	   20
 39	        2496	       309	   20
 40	        2560	       266	   20
 41	        2624	       267	   20
 42	        2688	       282	   20
 43	        2752	       285	   20
 44	        2816	        46	   20
 45	        2880	       132	   20
 46	        2944	       298	   20
 47	        3008	       289	   20
 48	        3072	       279	   20
 49	        3136	       283	   20
 50	        3200	       273	   20
 51	        3264	       279	   20
 52	        3328	       297	   20
 53	        3392	       280	   20
 54	        3456	       280	   20
 55	        3520	        48	   20
 56	        3584	       271	   20
 57	        3648	       278	   20
 58	        3712	       276	   20
 59	        3776	       276	   20
 60	        3840	       279	   20
 61	        3904	       271	   20
 62	        3968	       279	   20
 63	        4032	       294	   20
 64	        4096	       294	   20
 65	        4160	       301	   20
 66	        4224	        49	   20
 67	        4288	       283	   20
 68	        4352	       315	   20
 69	        4416	       290	   20
 70	        4480	       292	   20
 71	        4544	       306	   20
 72	        4608	       296	   20
 73	        4672	       288	   20
 74	        4736	       314	   20
 75	        4800	       304	   20
 76	        4864	       306	   20
 77	        4928	        58	   20
 78	        4992	       295	   20
 79	        5056	       301	   20
 80	        5120	       274	   20
 81	        5184	       277	   20
 82	        5248	       295	   20
 83	        5312	       289	   20
 84	        5376	       304	   20
 85	        5440	       294	   20
 86	        5504	       307	   20
 87	        5568	       291	   20
 88	        5632	        46	   20
 89	        5696	       286	   20
 90	        5760	       301	   20
 91	        5824	       290	   20
 92	        5888	       312	   20
 93	        5952	       319	   20
 94	        6016	       284	   20
 95	        6080	       295	   20
 96	        6144	       274	   20
 97	        6208	       296	   20
 98	        6272	       280	   20
 99	        6336	       290	   20
100	        6400	       285	   20
101	        6464	       346	   20
102	        6528	       289	   20
103	        6592	       289	   20
104	        6656	       349	   20
105	        6720	       302	   20
106	        6784	       309	   20
107	        6848	       282	   20
108	        6912	       294	   20
109	        6976	       342	   20
110	        7040	        63	   20
111	        7104	       294	   20
112	        7168	       280	   20
113	        7232	       288	   20
114	        7296	       284	   20
115	        7360	       291	   20
116	        7424	       307	   20
117	        7488	       292	   20
118	        7552	       291	   20
119	        7616	       328	   20
120	        7680	       289	   20
121	        7744	        43	   20
122	        7808	       279	   20
123	        7872	       276	   20
124	        7936	       286	   20
125	        8000	       313	   20
126	        8064	       289	   20
127	        8128	       291	   20
128	        8192	       322	   20
129	        8256	       280	   20
130	        8320	       292	   20
131	        8384	       291	   20
132	        8448	       338	   20
133	        8512	       298	   20
134	        8576	       302	   20
135	        8640	       312	   20
136	        8704	       292	   20
137	        8768	       285	   20
138	        8832	       276	   20
139	        8896	       295	   20
140	        8960	       306	   20
141	        9024	       292	   20
142	        9088	       304	   20
143	        9152	       313	   20
144	        9216	       302	   20
145	        9280	       278	   20
146	        9344	       280	   20
147	        9408	       292	   20
148	        9472	       306	   20
149	        9536	       286	   20
150	        9600	       288	   20
151	        9664	       348	   20
152	        9728	       283	   20
153	        9792	       284	   20
154	        9856	       282	   20
155	        9920	       285	   20
156	        9984	       284	   20
157	       10048	       291	   20
158	       10112	       313	   20
159	       10176	       310	   20
160	       10240	       274	   20
161	       10304	       284	   20
162	       10368	       284	   20
163	       10432	       294	   20
164	       10496	       310	   20
165	       10560	       304	   20
166	       10624	       314	   20
167	       10688	       294	   20
168	       10752	       296	   20
169	       10816	       278	   20
170	       10880	       282	   20
171	       10944	       288	   20
172	       11008	       321	   20
173	       11072	       306	   20
174	       11136	       294	   20
175	       11200	       328	   20
176	       11264	       303	   20
177	       11328	       291	   20
178	       11392	       289	   20
179	       11456	       283	   20
180	       11520	       283	   20
181	       11584	       292	   20
182	       11648	       289	   20
183	       11712	       303	   20
184	       11776	       282	   20
185	       11840	       291	   20
186	       11904	       285	   20
187	       11968	       282	   20
188	       12032	       310	   20
189	       12096	       290	   20
190	       12160	       289	   20
191	       12224	       351	   20
192	       12288	       286	   20
193	       12352	       267	   20
194	       12416	       273	   20
195	       12480	       302	   20
196	       12544	       276	   20
197	       12608	       277	   20
198	       12672	       298	   20
199	       12736	       282	   20

