# x86 stride prefetch latency map
# access mode: load
# stride_bytes=320 train_step=15 rounds=4000 probe_positions=200
# position	offset_bytes	avg_cycles	probes
  0	           0	        46	   20
  1	          64	        88	   20
  2	         128	       175	   20
  3	         192	       286	   20
  4	         256	       283	   20
  5	         320	        39	   20
  6	         384	       100	   20
  7	         448	       294	   20
  8	         512	       274	   20
  9	         576	       290	   20
 10	         640	        44	   20
 11	         704	       238	   20
 12	         768	       267	   20
 13	         832	       274	   20
 14	         896	       271	   20
 15	         960	        44	   20
 16	        1024	       249	   20
 17	        1088	       265	   20
 18	        1152	       270	   20
 19	        1216	       321	   20
 20	        1280	        43	   20
 21	        1344	       146	   20
 22	        1408	       280	   20
 23	        1472	       289	   20
 24	        1536	       283	   20
 25	        1600	        42	   20
 26	        1664	       132	   20
 27	        1728	       283	   20
 28	        1792	       276	   20
 29	        1856	       272	   20
 30	        1920	        42	   20
 31	        1984	       136	   20
 32	        2048	       288	   20
 33	        2112	       306	   20
 34	        2176	       268	   20
 35	        2240	        44	   20
 36	        2304	       265	   20
 37	        2368	       268	   20
 38	        2432	       279	   20
 39	        2496	       277	   20
 40	        2560	        45	   20
 41	        2624	       250	   20
 42	        2688	       272	   20
 43	        2752	       279	   20
 44	        2816	       278	   20
 45	        2880	        45	   20
 46	        2944	       286	   20
 47	        3008	       309	   20
 48	        3072	       272	   20
 49	        3136	       267	   20
 50	        3200	        42	   20
 51	        3264	       278	   20
 52	        3328	       278	   20
 53	        3392	       277	   20
 54	        3456	       294	   20
 55	        3520	        44	   20
 56	        3584	       300	   20
 57	        3648	       266	   20
 58	        3712	       267	   20
 59	        3776	       274	   20
 60	        3840	        43	   20
 61	        3904	       273	   20
 62	        3968	       280	   20
 63	        4032	       277	   20
 64	        4096	       302	   20
 65	        4160	        44	   20
 66	        4224	       145	   20
 67	        4288	       294	   20
 68	        4352	       307	   20
 69	        4416	       296	   20
 70	        4480	        44	   20
 71	        4544	       130	   20
 72	        4608	       310	   20
 73	        4672	       316	   20
 74	        4736	       292	   20
 75	        4800	       280	   20
 76	        4864	       291	   20
 77	        4928	       303	   20
 78	        4992	       319	   20
 79	        5056	       304	   20
 80	        5120	        40	   20
 81	        5184	       297	   20
 82	        5248	       325	   20
 83	        5312	       315	   20
 84	        5376	       314	   20
 85	        5440	        69	   20
 86	        5504	       296	   20
 87	        5568	       326	   20
 88	        5632	       302	   20
 89	        5696	       297	   20
 90	        5760	       271	   20
 91	        5824	       304	   20
 92	        5888	       324	   20
 93	        5952	       306	   20
 94	        6016	       310	   20
 95	        6080	       286	   20
 96	        6144	       354	   20
 97	        6208	       294	   20
 98	        6272	       296	   20
 99	        6336	       306	   20
100	        6400	        79	   20
101	        6464	       297	   20
102	        6528	       327	   20
103	        6592	       313	   20
104	        6656	       310	   20
105	        6720	        81	   20
106	        6784	       314	   20
107	        6848	       304	   20
108	        6912	       298	   20
109	        6976	       308	   20
110	        7040	       330	   20
111	        7104	       297	   20
112	        7168	       309	   20
113	        7232	       303	   20
114	        7296	       303	   20
115	        7360	       292	   20
116	        7424	       295	   20
117	        7488	       301	   20
118	        7552	       327	   20
119	        7616	       302	   20
120	        7680	       290	   20
121	        7744	       297	   20
122	        7808	       292	   20
123	        7872	       298	   20
124	        7936	       296	   20
125	        8000	       315	   20
126	        8064	       320	   20
127	        8128	       331	   20
128	        8192	       283	   20
129	        8256	       296	   20
130	        8320	       300	   20
131	        8384	       313	   20
132	        8448	       318	   20
133	        8512	       298	   20
134	        8576	       283	   20
135	        8640	       320	   20
136	        8704	       274	   20
137	        8768	       297	   20
138	        8832	       285	   20
139	        8896	       309	   20
140	        8960	        81	   20
141	        9024	       296	   20
142	        9088	       303	   20
143	        9152	       322	   20
144	        9216	       289	   20
145	        9280	       283	   20
146	        9344	       288	   20
147	        9408	       284	   20
148	        9472	       298	   20
149	        9536	       286	   20
150	        9600	       282	   20
151	        9664	       307	   20
152	        9728	       301	   20
153	        9792	       307	   20
154	        9856	       292	   20
155	        9920	       284	   20
156	        9984	       283	   20
157	       10048	       288	   20
158	       10112	       295	   20
159	       10176	       309	   20
160	       10240	       278	   20
161	       10304	       301	   20
162	       10368	       288	   20
163	       10432	       283	   20
164	       10496	       298	   20
165	       10560	       328	   20
166	       10624	       318	   20
167	       10688	       286	   20
168	       10752	       290	   20
169	       10816	       295	   20
170	       10880	       294	   20
171	       10944	       304	   20
172	       11008	       280	   20
173	       11072	       283	   20
174	       11136	       282	   20
175	       11200	       298	   20
176	       11264	       276	   20
177	       11328	       303	   20
178	       11392	       279	   20
179	       11456	       310	   20
180	       11520	       280	   20
181	       11584	       284	   20
182	       11648	       282	   20
183	       11712	       314	   20
184	       11776	       320	   20
185	       11840	       322	   20
186	       11904	       283	   20
187	       11968	       309	   20
188	       12032	       304	   20
189	       12096	       288	   20
190	       12160	       282	   20
191	       12224	       300	   20
192	       12288	       309	   20
193	       12352	       309	   20
194	       12416	       306	   20
195	       12480	       313	   20
196	       12544	       308	   20
197	       12608	       337	   20
198	       12672	       306	   20
199	       12736	       337	   20

